,Reseñas,Target,Texto procesado
0,anormal,0,anormal
1,abolir,0,abol
2,abominable,0,abomin
3,abortar,0,abort
4,desgastar,0,desgast
5,abrasivo,0,abras
6,abrupto,0,abrupt
7,fugarse,0,fug
8,ausencia,0,ausenci
9,despistado,0,despist
10,ausente,0,ausent
11,absurdo,0,absurd
12,abuso,0,abus
13,abismal,0,abismal
14,abismo,0,abism
15,accidental,0,accidental
16,abordar,0,abord
17,maldito,0,maldit
18,acusación,0,acus
19,acusatoriamente,0,acusatori
20,exacerbar,0,exacerb
21,acerbo,0,acerb
22,mordazmente,0,mordaz
23,dolor,0,dolor
24,dolido,0,dol
25,acre,0,acre
26,acritud,0,acritud
27,con,0,con
28,firme,0,firm
29,rotundamente,0,rotund
30,adicto,0,adict
31,fanático,0,fanat
32,amonestar,0,amonest
33,adulterar,0,adulter
34,espurio,0,espuri
35,adulterio,0,adulteri
36,adversario,0,adversari
37,adverso,0,advers
38,afligir,0,aflig
39,aflicción,0,afliccion
40,afrenta,0,afrent
41,temeroso,0,temer
42,agravar,0,agrav
43,agresión,0,agresion
44,agresivo,0,agres
45,agresor,0,agresor
46,ofender,0,ofend
47,agraviado,0,agravi
48,espantado,0,espant
49,agonías,0,agon
50,agonizar,0,agoniz
51,angustiosamente,0,angusti
52,encallado,0,encall
53,enfermo,0,enferm
54,enfermedad,0,enfermed
55,sin,0,sin
56,objetivo,0,objet
57,alarma,0,alarm
58,enajenar,0,enajen
59,alienación,0,alien
60,alegación,0,aleg
61,alérgico,0,alerg
62,alergias,0,alergi
63,a,0,a
64,distancia,0,distanci
65,altercado,0,alterc
66,ambigüedad,0,ambigüed
67,ambiguo,0,ambigu
68,ambivalencia,0,ambivalent
69,emboscada,0,embosc
70,mal,0,mal
71,amputar,0,amput
72,anarquismo,0,anarqu
73,anémico,0,anem
74,ira,0,ira
75,furiosamente,0,furi
76,enojo,0,enoj
77,animosidad,0,anim
78,aniquilar,0,aniquil
79,molestar,0,molest
80,molestia,0,molesti
81,irritado,0,irrit
82,anómalo,0,anomal
83,antagonismo,0,antagon
84,enemistarse,0,enemist
85,anti-,0,anti-
86,anti-americano,0,anti-american
87,anti-israelí,0,anti-israel
88,anti-ocupación,0,anti-ocup
89,anti-proliferación,0,anti-prolifer
90,antisemitas,0,antisemit
91,antisocial,0,antisocial
92,anti-nosotros,0,anti-nosotr
93,anti-blanco,0,anti-blanc
94,antipatía,0,antipat
95,anticuado,0,anticu
96,antitético,0,antitet
97,ansiedades,0,ansiedad
98,ansiedad,0,ansied
99,ansioso,0,ansios
100,ansiosamente,0,ansi
101,apático,0,apat
102,apocalipsis,0,apocalipsis
103,apocalíptico,0,apocalipt
104,apologista,0,apolog
105,horrorizado,0,horroriz
106,pésimo,0,pesim
107,horriblemente,0,horribl
108,detención,0,detencion
109,aprehensiones,0,aprehension
110,aprensivo,0,aprens
111,aprensión,0,aprension
112,arbitrario,0,arbitrari
113,arcano,0,arcan
114,arcaico,0,arcaic
115,arduo,0,ardu
116,discutidor,0,discutidor
117,arrogancia,0,arrog
118,avergonzado,0,avergonz
119,asnal,0,asnal
120,estúpidamente,0,estupid
121,anonimidad,0,anonim
122,de,0,de
123,reojo,0,reoj
124,difamar,0,difam
125,aspersión,0,aspersion
126,atacar,0,atac
127,asesino,0,asesin
128,asalto,0,asalt
129,por,0,por
130,camino,0,camin
131,en,0,en
132,pedazos,0,pedaz
133,atroz,0,atroz
134,atrocidades,0,atroc
135,atrofia,0,atrofi
136,ataque,0,ataqu
137,audaz,0,audaz
138,audacia,0,audaci
139,audiblemente,0,audibl
140,austero,0,auster
141,autoritario,0,autoritari
142,autócrata,0,autocrat
143,avalancha,0,avalanch
144,avaricia,0,avarici
145,avaro,0,avar
146,vengar,0,veng
147,contrario,0,contrari
148,aversión,0,aversion
149,muy,0,muy
150,horror,0,horror
151,torpe,0,torp
152,torpeza,0,torpez
153,hacha,0,hach
154,balbucear,0,balbuc
155,retrocedido,0,retroced
156,madera,0,mader
157,trasera,0,traser
158,región,0,region
159,apartada,0,apart
160,espalda,0,espald
161,apoyo,0,apoy
162,murmurar,0,murmur
163,hacia,0,haci
164,atrás,0,atras
165,deflector,0,deflector
166,desconcertado,0,desconcert
167,desconcierto,0,desconciert
168,cebo,0,ceb
169,obstáculo,0,obstacul
170,banal,0,banal
171,vulgarizar,0,vulgariz
172,perdición,0,perdicion
173,desterrar,0,desterr
174,destierro,0,destierr
175,arruinado,0,arruin
176,bárbaro,0,barbar
177,barbarie,0,barbari
178,estéril,0,esteril
179,infundado,0,infund
180,intento,0,intent
181,golpeado,0,golp
182,tímido,0,tim
183,paliza,0,paliz
184,Bastardo,0,bastard
185,cabrones,0,cabron
186,abollado,0,aboll
187,cañoneo,0,cañone
188,chalado,0,chal
189,osuno,0,osun
190,bestial,0,bestial
191,algarabía,0,algarab
192,ensuciar,0,ensuci
193,mendigar,0,mendig
194,miserable,0,miser
195,mendicidad,0,mendic
196,engañar,0,engañ
197,apalear,0,apal
198,tardío,0,tardi
199,sitiar,0,siti
200,desmentir,0,desment
201,empequeñecer,0,empequeñec
202,menospreciado,0,menospreci
203,belicoso,0,belic
204,beligerancia,0,beliger
205,lamentar,0,lament
206,perplejo,0,perplej
207,doblado,0,dobl
208,regañarse,0,regañ
209,privar,0,priv
210,duelo,0,duel
211,enloquecido,0,enloquec
212,implorar,0,implor
213,acosar,0,acos
214,manchar,0,manch
215,traicionar,0,traicion
216,traidor,0,traidor
217,llorar,0,llor
218,tener,0,ten
219,cuidado,0,cuid
220,confundir,0,confund
221,hechizar,0,hechiz
222,parcialidad,0,parcial
223,sesgos,0,sesg
224,disputa,0,disput
225,dimes,0,dim
226,y,0,y
227,diretes,0,diret
228,manipulación,0,manipul
229,licitaciones,0,licit
230,perra,0,perr
231,malévolo,0,malevol
232,mordiendo,0,mord
233,amargo,0,amarg
234,amargura,0,amargur
235,extraño,0,extrañ
236,cotilla,0,cotill
237,chismoso,0,chismos
238,chantaje,0,chantaj
239,paja,0,paj
240,culpa,0,culp
241,culpable,0,culpabl
242,amable,0,amabl
243,ablandar,0,abland
244,blasfemar,0,blasfem
245,blasfemia,0,blasfemi
246,evidente,0,evident
247,descaradamente,0,descar
248,decir,0,dec
249,tonterías,0,tont
250,desolado,0,desol
251,sangrar,0,sangr
252,defecto,0,defect
253,ciego,0,cieg
254,cegador,0,cegador
255,lado,0,lad
256,siego,0,sieg
257,ampolla,0,ampoll
258,hinchado,0,hinch
259,bloqueo,0,bloque
260,estúpido,0,estup
261,matanza,0,matanz
262,sanguinario,0,sanguinari
263,sangriento,0,sangrient
264,enrojecido,0,enrojec
265,soplo,0,sopl
266,errores,0,error
267,embotar,0,embot
268,difuminar,0,difumin
269,borroso,0,borros
270,borrón,0,borron
271,bruscamente,0,brusc
272,jactancioso,0,jactanci
273,sobresaltarse,0,sobresalt
274,FALSO,0,fals
275,hervir,0,herv
276,hirviendo,0,hirv
277,bullicioso,0,bullici
278,bomba,0,bomb
279,bombardear,0,bombard
280,bombardeo,0,bombarde
281,rimbombante,0,rimbomb
282,esclavitud,0,esclavitud
283,loco,0,loc
284,aburrir,0,aburr
285,chapucear,0,chapuc
286,expurgar,0,expurg
287,boicotear,0,boicot
288,fanfarrón,0,fanfarron
289,lavar,0,lav
290,el,0,el
291,cerebro,0,cerebr
292,temerario,0,temerari
293,palo,0,pal
294,golf,0,golf
295,bravata,0,bravat
296,incumplimiento,0,incumpl
297,romper,0,romp
298,ruptura,0,ruptur
299,Descompostura,0,descompostur
300,rotura,0,rotur
301,soborno,0,soborn
302,azufre,0,azufr
303,cerda,0,cerd
304,frágil,0,fragil
305,roto,0,rot
306,corazón,0,corazon
307,cría,0,cri
308,atemorizar,0,atemoriz
309,moretón,0,moreton
310,magullado,0,magull
311,brutal,0,brutal
312,brutalizar,0,brutaliz
313,embrutecer,0,embrutec
314,bruto,0,brut
315,bs,0,bs
316,hebilla,0,hebill
317,insecto,0,insect
318,calesa,0,cales
319,mas,0,mas
320,voluminoso,0,volumin
321,volumen,0,volum
322,matones,0,maton
323,mierda,0,mierd
324,intimidante,0,intimid
325,culo,0,cul
326,bache,0,bach
327,abultado,0,abult
328,estropear,0,estrop
329,chapucero,0,chapucer
330,litera,0,liter
331,carga,0,carg
332,gravoso,0,gravos
333,pesadamente,0,pesad
334,quemar,0,quem
335,ardiente,0,ardient
336,quemaduras,0,quemadur
337,busto,0,bust
338,entrometido,0,entromet
339,Carnicero,0,carnicer
340,carnicería,0,carnic
341,zumbido,0,zumb
342,bizantino,0,bizantin
343,cacareo,0,cacare
344,calamidades,0,calam
345,calamitoso,0,calamit
346,calloso,0,callos
347,calumniar,0,calumni
348,cáncer,0,canc
349,canceroso,0,cancer
350,caníbal,0,canibal
351,canibalizar,0,canibaliz
352,capitular,0,capitul
353,caprichoso,0,caprich
354,zozobrar,0,zozobr
355,descuidado,0,descuid
356,descuido,0,descu
357,caricatura,0,caricatur
358,carpa,0,carp
