,Estrellas,Reseñas
0,2,"No me ha gustado nada, pero llegó rápido"
1,1,Menuda mierda
2,1,Estafa estafa estafa
3,1,No vuelvo nunca mas
4,1,Que asco de tienda
5,1,Lo peor que he visto nunca
6,1,Si digo lo que pienso me llevan preso
7,1,Bffff que rabia de verdad
8,1,"Producto malisimo, tardaron muchísimo.... lamentable"
9,1,Que asco de tienda y vaya mierda de producto
10,1,Patetico 
11,1,Estafa
12,1,Mojon
13,1,Mojonazo
14,1,Horrible y patetico
15,1,"Horrible, no vengo mas"
16,1,Estoy denunciándolos
17,1,Que asco de sitio de verdad
18,1,Estafadooooreees
19,1,"No comprar aquí nunca, no cometáis el mismo error que yo"
20,1,Tremenda mierda
21,1,Asqueroso
22,1,Lamentable
23,1,Que asc madre de dios
24,1,Horriblemente asqueroso
25,1,La mayor mierda que he visto
26,1,Que asquito madre
27,1,"No tengo palabras para describir lo que acabo de comprar, lamentable"
28,1,Que rabia joder
29,1,Tremendo mierdote
30,1,Tremenda mierda
31,1,La mierda más grande que he visto
32,1,Nada recomendable
33,1,Exijo que me devuelvan el dinero
34,1,Sois escoria
35,1,Escoria humana
36,1,Tremenda mierda de verdad
37,1,Bffff que ascooooo
