,Estrellas,Reseñas
0,1,"HispapostPreguntar al vendedor con que empresa lo manda, si es hispapost, tener en cuenta que tenéis que desplazaros a por el pedido, no os dejéis engañar, ni van a tu dirección, simplemente dicen que no cabe en el buzón.Penoso Aliexpres."
1,5,"He tenido muy buenas experienciasHe tenido muy buenas experiencias, la mayoría de los vendedores están dispuestos a responder dudas y ayudar a los compradores. Con este sistema, he podido comprar artículos que en mi país no encuentro. Es genial, tener acceso a una gran variedad de productos que no sabia que existían de buena calidad y precio. Muy contenta con la experiencia de compra."
2,1,"como siempre Aliexpress sigue permitiendo estafascomo siempre Aliexpress sigue permitiendo que su web se llene de estafadores, en su momneto pedi un HD de 1Tb. pero era FAKE, un sim trucada para que diera ese valor , pero luego era mentira, tenia 600Mb, ahora he pedido otro a otro comprador, y veo que es lo mismo , me deje guiar por opiniones, pero a ver mas opiones (de gente que si ha verificado el articulo ), sigue siendo lo mismo y lo malo es que esta infestado de estos vendedores, no compreis hd con precios supuestamente bajos , son falsos, reclamar la devolucion del importe y avisar a los otros compradores."
3,1,"No es la primera vez que recibo un…No es la primera vez que recibo un producto defectuoso,  la devolución cuesta más que el producto, a pesar de demostrar en en video que el producto es defectuoso no te devuelven el dinero"
4,5,"Plataforma perfectamente funcionalPocas veces he tenido una mala experiencia con Aliexpress, y en todos los casos se ha solucionado perfectamente. Ponen el bienestar y la seguridad del comprador por encima de todo, y en caso de cualquier defecto te devuelven el dinero en seguida. Nada que ver la Aliexpress actual con la de hace unos años."
5,1,"Página insegura e irresposableEsta página es una mas de las que estafan al cliente, como la ""Tradeinn"" bien sea porque llegan los pedidos que no son, o simplemente no llegan. A mi me llegó un producto diferente y para volverlo no reconocen y cuesta mucho mas de lo que vale el producto. Otros dos productos bombillos alógenos para mi carro que comprpé nunca llegaron ni se dan el trabajo de contestar los correos, es una estafa."
6,1,"Una experiencia muy desagradable .pedí…Una experiencia muy desagradable .pedí en producto en en abril y no llega asta ahora que ya estamos en julio ,solo me envían ablar com un robot 🤖 Eva que no me da ninguna solución NO RECOMENDABLE COMPRAR POR ALIEXPESS"
7,1,"Se acabó la eficacia de AliexpressSe acabó la eficacia de Aliexpress. En España tienen acuerdos con las empresas fantasmas de logística Hispa Post y Ecoscooting, que en el mejor de los casos, tu paquete acaba devuelto y, despues de meses podrás recuperar tu dinero.Estas ""compañias"" están repletas de incompetentes que no saben ni llegar a tu domicilio (yo mismo he llevado en persona un paquete que se encontraba encima de los buzones y que pertenecía a un vecino del portal adyacente) o directamente no van y tu vivienda y el paquete anda dando vueltas por naves y oficinas cochambrosas que con un poco de suerte están a 25 km de tu domicilio y con un horario de recogida de 8am a 14pm.Los usarios deberíamos dar un golpe en la mesa y darnos de baja alegando ese motivo. Yo por mi parte, hoy terminaré con una disputa (por estos motivos) y daré mi cuenta de baja (Socio Diamante) para siempre; es preferible pagar un poco más en Amazon, pero tener garantizada la entrega."
8,2,"Eligen compañías de reparto problemáticas.Encargan el reparto en España a compañías lamentables como EcoScooting. Lo que antes era esperar un pedido con ilusión, ahora es esperar otra sorpresa desagradable, como que marquen el envío como entregado sin entregarlo, que marquen ausente sin estarlo, que lo entreguen a cualquiera menos al destinatario para no tener que volver...todas las tretas posibles.Todas las buenas experiencias de compra en AE durante años, echadas a perder por elegir a unos impresentables. Dejen de ofrecer cupones por retrasos y gasten ese dinero en compañías más confiables o en poder recibir envío en más puntos concertados de recogida.Han cambiado mi ilusión por llegar a Diamante, en  pereza y ganas de no comprar."
9,5,"MI EXPERRIENCIA DE COMPRAS EN ALIEXPRES…MI EXPERRIENCIA DE COMPRAS EN ALIEXPRES HA SIDO MUY SATISFACTORIA TANTO POR LA CALIDAD DE LA MAYORIA DE LO QUE VENDEN, ASÍ COMO LA SEGURIDAD DE LA DEVOLUCIÓN DEL DINERO CUANDO SE REALIZA UNA DISPUTA. OTRO PUNTO QUE ME AGRADA ES SU SISTEMA DE RASTREO (PUNTO EN QUE FALLA BANGOOD) ADEMÁS EL PODER COMUNICARSE CON EL VENDEDOR ES MUY BUENO.LO UNICO QUE DESAGRADA SON LOS TIEMPOS DE ESPERA, QUE CUANDO ENTRE EN FUNCIONES LA MEGA BODEGA DE ALIBABA Y ALIEXPRES EN TULTEPEC ESTADO DE MÉXICO DE SOLUCIÓN A LOS TIEMPOS DE ENTREGA. GRACIAS."
10,1,"Alibaba y los 40 ladronesUna estafa, me llega el producto roto y su solución es devolver el producto pagando yo los costes los cuales superan al valor del producto. Todo esta hecho para favorecer al vendedor. Los de atención al cliente parecen bots y no se enteran de nada."
11,5,"Me encanta el servicio en generalMe encanta el servicio en general. La garantia del cliente me satisface, ya que lo he utilizado un par de veces y me han reembolsado el valor de mi pedido.  Estoy feliz y sigo siendo su cliente.  Gracias Aliexpress !!!"
12,1,"RecibidoRecibido, no tenian entre la basura obsoleta algo peor que una patata..... El sobre donde ha venido la sorpresa es mejor que los auriculares que han mandado.. Se han quedado a gusto de desacerse de la patata ( Esto es sobre el pedido 3023869157340642)"
13,5,"ok kkkkkkkkviva España , viva nuestra bandera , al ke no le guste , fuera ."
14,1,"No es serio, evitar AliExpress es evitar problemasNo es serio. Ante cualquier problema, no dan garantía, el servicio de atención al cliente es pésimo y automatizado. Ante cualquier disputa, le suelen dar la razón a los vendedores y no al cliente, entre ellos se cubren. Muy barato tiene que ser el producto para que valga la pena...Además, si por desgracia te llega el envío com Hispapost, ni tan siquiera te lo entregan en casa o buzón, aunque hayas pagado el servicio, te hacen ir a recogerlo...y si reclamas, se lo pasan por el f.No tienen vergüenza."
15,1,"La peor experiencia de mi vida en…La peor experiencia de mi vida en ecommerce, sin garantía sin ordenador y sin dinero. Ese es el resumen de la compra en Aliexpress, llegó el ordenador y por enfermedad lo recogí pasado el mes de devolución, nada más arrancarlo salen cuatro rayas paralelas en la zona de la barra de tareas, al segundo día, no arrancó, precise garantía y después de mil intentos me piden videos y fotos que supongo que los utilizarán para decorar su wc. Después me dijeron que no eran pruebas suficientes y se acabó el problema para ellos porque tu te quedas sin dinero y sin ordenador. Por favor no tiréis dinero comprando en aliexpress, mejor Amazon que dan garantía y se preocupan por sus clientes. Un saludo a todos!!!!"
16,5,MUCHAS GRACIAS POR LA EXPERECIAMUCHAS GRACIAS POR LA EXPERECIA. ES MUY GRATIFICANTE.
17,1,la peor experiencia ya que mostré con…la peor experiencia ya que mostré con fotos y  videos y rechazaron mi caso lo cual transgrede las políticas de derecho del consumidor de chile. según la política de la empresa  aliexpress eso no lo dice en ningún sitio y eso me defraudo de de ali.
18,5,"Compras satisfechasLos pedidos que he realizado, han llegado en tiempo y forma, y tal como se describen en la publicacion."
19,1,Se Les puede calificar de Ladrones a…Se Les puede calificar de Ladrones a esta empresa Aliexpress qué tienen conocimiento de queSu empresa de transportes Ecoscooting han perdido mi pedido y aún así me cobran el pedido Yo. Creo que Sí
20,5,"Muy responsables y muy buen servicioMuy responsables y muy buen servicio, gracias.Hasta el día de hoy me ha resuelto alguna que otra devolución, sin problemas. está mejorando en la rapidez de los envíos, sigan mejorándolo. estupendo,"
21,5,"Soy cliente y he comprado muchas cosasSoy cliente y he comprado muchas cosas, que en España no hay, y siempre con la mejor calidad."
22,1,"Ali Express son muy buenos o muy malos Se combinaron 3 pedidos ninguno llegó conmigo He tenido más de 200 pedidos y esta es nuevamente la tercera vez que esto sucede, dicen que se entregó NO HAY PRUEBAli Express son muy buenos o muy malos Se combinaron 3 pedidos ninguno llegó conmigo He tenido más de 200 pedidos y esta es nuevamente la tercera vez que esto sucede, dicen que se entregó NO HAY PRUEBA POR SUPUESTO Digo donde dicen a mi VILLA sin firma sin corbata sin ayuda. Pérdida de 130 dólares allí, el servicio al cliente es muy, muy pobre, todo se trata del dinero, además de que las tres compañías a las que compré no fueron buenas para ayudar a estar consciente de pagar con TARJETA DE CRÉDITO o Pay Pal, por lo que al menos puede reclamarlo porque Ali nunca va. para ayudarte."
