,Estrellas,Reseñas
0,2,"Servicio de atención al cliente lamentable.El viaje en si no estuvo mal, si bien hay bastantes cosas que mejorar. Lo peor, sin duda, su servicio de atención al cliente. Nos dejamos un dispositivo en nuestro camarote y llevan una semana y media sin dar señales de vida después de abrir un ticket en soporte (no se les puede llamar por teléfono para los objetos perdidos, hay que esperar a que les apetezca contestar)Lamentable."
1,3,"Hay cosas que mejorarPositivo el espacio entre butacas. Se podría mejorar la climatización y el espacio entre los coches, va demasiado justo y prova incidentes como el que me ha ocurrido a mí. Al pasar por un minúsculo pasillo me rocé con un cable con grasa que dejo mi camiseta muy sucia, tuve que tirarla"
2,4,"La prensa vez que utilizaba el medio de…La prensa vez que utilizaba el medio de transporte y fue una experiencia muy satisfactoria.A modo proactivo, hay margen de mejora en el desembarco a causa de la impaciencia de los viajeros.Los horarios parecen orientativos aunque, en nuestro caso, no ha sido muy significativo ya que estamos de vacaciones."
3,5,"El embarque con coche bastante ordenado…El embarque con coche bastante ordenado las instrucciones del personal excelentes, un poco de lío al llegar a puerto...en la ida butacas sirenas, no son muy comodas, el aire demasiado fuerte, y descansar fue difícil por el área en que sencuentran las butacas.."
4,5,"Perfecta experienciaFue una buena experiencia, es la primera vez que viajo con barco y me sorprendió, trato perfecto de toda la tripulación y muy atentos. El único inconveniente las películas que ponen, no són muy atractivas y poco aptes para los más pequeños, no tiene volumen. Para la próxima tendré apunto películas descargadas"
5,5,"La web no está a la altura del buques y personalLa web es lenta y poco ágil pero la compra de billetes es correcta. La experiencia en el buque super correcta, la ida fué con un buque un más viejo y los asientos estaban mojados y llenos de arena. Desembarco con escaleras y dificil si llevas equipaje de peso. La vuelta fue mucho más cómoda el barco estaba impecable. Personal a bordo super amables en los dos buques. Puntualidad super correcta."
6,4,"Aun saliendo tardeAun saliendo tarde, la travesia fue agradable. Buque en buenas condiciones. Lo malo la parada en una escala programada. A las 4 de la mañana hay decenas de mensajes sin filtro que despiertan a todo el resto del pasaje"
7,3,Rapido pero muy mejorableEs un buque rapido y la travesia se hace relativamente cortaLos productos del bar son poco apetecibles y los asientos muy incomodos. No hay quiosco ni ofertas de entretenimiento incluidas en el pasaje
8,1,"ESTAFA DE BALEARIA EN IBIZAViaje Formentera-Palma:Obligatoriamente se debe pasar por Ibiza que tiene dos puertos de atraque bastante distanciados según el calado del barco. Se supone que pagas en tu billete, el enlace de autobús entre ambos pero, cuando llegas desde Formentera, ese autobús no existe y te quedas tirado en el puerto sin nadie que te dé información. Finalmente, cuando has perdido mucho tiempo esperando y tu barco está próximo a salir, optas por un taxi (si lo encuentras). La estafa de  Balearia ya ha sido perpetrada."
9,3,"La ubicacion que nos enviaron para…La ubicacion que nos enviaron para embarcar en Mallorca no era correcta. En el salon Roma, hacía demasiado frío y solo nos dieron 1 manta para 4 porque no quedaban mas. El entretenimiento para los niños, taller de papiroflexia, estubo correcto. Gracias"
10,5,"Personal muy atento y agradableEl personal de abordo siempre es muy atento, amable y servicial. Además en Butaca VIP con bebida gratis. Lo malo es el aparcamiento de vehículos, entro de primeros y siempre me queda el vehículo de últimos para salir y complicado de acceder a él cuando toca. No entiendo que criterios se siguen."
11,3,Pros y contrasPositiva comodidad barco y temperatura.Negativa no poner una película para que fuera más ameno viaje y el agobio de la bodega al sacar coche parecia que no se podia respirar entre calor y contaminación
12,4,"Viaje agradable excepto por la comidaEl viaje fue agradable. Mis hijas pudieron disfrutar de la piscina, lo que les hizo el trayecto muy llevadero. Para futuros viajes llevaremos la comida de casa, ya que ese aspecto deja mucho que desear. En cafetería no tenían la mayoría de las pizzas ofertadas (y unos transportistas que viajan habitualmente nos dijeron que siempre pasaba), y la calidad del menú self service dejaba mucho que desear (solo se salvaba la pasta y el postre)."
13,4,"Cambien forma de desembarco en CiutadellaEl barco llegó puntual, era nuevo y cómodo, pero deberían cambiar el desembarco de los que viajábamos a pie. Tuvimos que bajar las maletas por un tramo de escaleras hasta llegar a la pasarela,algo que deberían cambiar,sí bien la tripulación,muy amable, ayudó a quién lo necesitara."
14,5,"Falta mejorar la conexión a internetEn general todo fue bien, el wifi costaba mucho de funcionar, compré el wifi y no me funcionaban las redes sociales. En la cafetería el aire acondicionado estaba a tope, pasé un poco de frío pero si llevas una mantita para los friolentos como yo estarán bien"
15,4,"El barco en general bien para los pasajeros y nada bien para los vehículos…El barco en general bien para los pasajeros, pero regular en el transporte del vehículo, los coches muy pegados y/o como el mio en rampa."
16,3,"El espacio para los perros es ruidoso y…El espacio para los perros es ruidoso y muy transitado, el personal genial y si se puede pasar la noche en la cafetería al menos podía tener una zona más tranquila, sin tanta luz y ruido"
17,3,Ambiente tranquilo y entretenido con…Ambiente tranquilo y entretenido con magia para los niños. Demasiado frío a bordo. Y caos para sacar los coches.
18,4,"Mi experiencia fue buena pese al…Mi experiencia fue buena pese al retraso de una hora a la salida y a la llegada a Barcelona. Mi queja es con el wifi, que tuve que pagar y no funcionó como esperado( ni como minimo)."
