,Estrellas,Reseñas
0,2,"COMO LOS CANGREJOS..El mismo ejemplo que el partido ""CIUDADANOS"" empezó muy bien y fuerte, ahora está desapareciendo poco a poco de la vida del cliente por sus comisiones y supuestas operativas de marketing totalmente avariciosas y para sacar pasta porque sí."
1,1,Llevo más de un mes que me validaron y…Llevo más de un mes que me validaron y firme contrato digital y aún esperando para abrir una cuenta; deben sobrarles los clientes!
2,1,E͓̽x͓̽p͓̽e͓̽r͓̽t͓̽ ͓̽A͓̽s͓̽s͓̽e͓̽t͓̽ ͓̽R͓̽e͓̽c͓̽o͓̽v͓̽e͓̽r͓̽y͓̽ ͓̽ ͓̽ ̽ ͓O͓̽r͓̽g͓̽*͓̽Le aconsejo que se comunique con el nombre en mi encabezado para obtener un reembolso rápido.
3,2,"Hoy en día hay mejores opciones.Hace un par de años era una alternativa para las compras en el extranjero. Hoy en día, ha puesto comisiones y han salido alternativas mejores."
4,1,"Cobran 4,99 euros al mesAcabo de darme cuenta que me cobran 4,99 euros ¡al mes! por tener una tarjeta con ellos. Es, claramente, una estafa. Llevo varios años en Bnext porque anunciaban que no cobraban absolutamente nada por tener una tarjeta de débito con ellos, pero hace unos meses que no le daba uso. Me ha dado por mirar la cuenta y ya me habían quitado 25 euros por toda la cara. Sin avisar.No recomendado en absoluto. Huid de Bnext porque ya sabéis lo que pasa."
5,2,"No vuelvo ni gratis 🙃Dan muchos problemas con pasarelas de pago. Ojo a las nuevas comisiones, son tremendas. Van de diferentes y son peores que los bancos ancestrales. App no intuitiva, muchas condiciones para poder operar sin gasto. Fomentan tokens y criptomonedas  y privilegian eso delante de tu cuenta en la app. Nada recomendable. Ahora me responderán muy amables que son inmaculados….Hasta siempre señor@s!"
6,4,"En él viaje a Jordania de él año pasado…En él viaje a Jordania de él año pasado me sacó de más de un apuro, y haciendo el cambio de  divisas, es más barato que en muchas de las casas de cambio. La cargas en orígen y lo gastas en él destino. Fácil. La recomiendo, cumple lo que dice."
7,3,"Bnext : Claros y OscurosMi experiencia con Bnext ha sido impecable ( especialmente su interfaz con Onyzee funciona de fábula ), pero no le doy 5 estrellas porque recientemente mis 2 hijos ( ambos mayores de 18 años ) han abierto cuenta en Bnext ( instalada la app en su última versión 2.1.13 ) y no les aparece la opción de invertir en criptomonedas. Han escrito correo a soporte de Bnext, aún sin respuesta."
8,1,"Vendí el 23 junio 100000 tokens B3X por…Vendí el 23 junio 100000 tokens B3X por importe de 102,40 euros y no me lo ingresan en mi cuenta después de mucho pataleo y en vista de la poca formalidad me doy de baja en el banco y ayer recibí un correo reconociendo Sue error pidiendo un iban para ingresarme el dinero sin que a la fecha haya visto el ingreso ,un desastre de banco"
9,2,"La peor de todas las tarjetas de neobancosEra una gran tarjeta pero ha quedado rezagada en todo. Soy usuario de las tarjetas N26, Rebellion, Vivid y Bnex. Actualmente esta última ha perdido la mayoria de sus privilegions iniciales. La mantendré hasta su caducidad, pero no tengo interés en renovarla. Si tienes cualquier incidencia, ni se molestan en atenderla, solo se limitan a dicirte que ya lo miraran.Una pena, era un gran neobanco"
