,Estrellas,Reseñas
0,1,"Subcontratan con terceros para eliminar responsabilidadesPor causa mayor tuve que eliminar una reserva que había realizado pocas horas antes. No era retornable pero al ser por causa mayor la ley establece que puede anularse.El problema es que booking subcontrata con terceros Y de esa manera ellos dicen no poder hacer nada. Los establecimientos hoteleros están en la misma situación. La empresa bedsonline que es la supuesta responsable de la reserva no dispone de ningún medio de contacto para los usuarios finales.Solo para mayoristas.La solución al problema. Muy fácil. He eliminado mi cuenta de booking. Además, al parecer, la mayor parte de los hoteles cuando se les contacta directamente, hacen reservas y las anulan sin ningún problema y en similares o mejores condiciones.Os recomiendo que utilicéis la web de booking para las búsquedas y después contratéis directamente con el hotel"
1,1,Me cancelaron un alojamiento por fraude…Me cancelaron un alojamiento por fraude poniendome otras excusas y me marearon durante una semana diciéndome que me ibana a buscar otra alternativa y que se hacían cargo de los gastos. Una semana despues llamando todos los dias me empezaron a decir que no era así que no se hacían cargo y que me buscara la vida en otras palabras. Cuando ya no habia nada disponible en mis fechas despues de una semana. Ya no vuelvo a reservar más con booking. Hay fraudes que ni ellos pueden controlar. Increíble
2,1,Son unos sinvergüenzasSon unos sinvergüenzas! Cuando hay problema con soluciones de problema con propietario de apartamento Booking no quiere saber nada....te dicen que no pueden hacer nada ! Solo cobran comisiones sin resolver el problema! Nos ofrecieron un apartamento en Benidorm con váter atacado y llevamos 4 días con el problema ni propietario ni Booking nos dan solución. No recomiendo esa plataforma - estafa y mal gestión!
3,1,"Incumplimiento de booking con la…Incumplimiento de booking con la reserva de taxi, nos dejaron en un lugar alejado del Riad , sin acompañarnos a pie o darnos indicaciones como hacen otros traslados, tuvimos que contratar un guía local que nos cobró más que el taxi ya que dado las callejuelas que hay en Marrakech dentro de la Medina es imposible acceder a cualquiera de los múltiples Riad que hay. Además la dirección del traslado era incorrecta . Servicio nefasto , no recomiendo este traslado mejor s través de los Riad o hoteles. Experiencia pésima con booking , la solución un reintegro de 2,99€. Una vergüenza."
4,1,"Me cobraron más por un apartamentoAl ir a reservar un apartamento por segunda vez ponían en su página web un precio y al ir a pagar con la tarjeta la reserva me subieron el precio bastante más.Al escribirle al alojamiento le echaban la culpa a bookingz cuando fue el apartamento el que subió el precio, me parece un engaño y publicidad engañosa y deberían penalizar a los diferentes alojamientos que hagan esto"
5,1,"Después de reservar una villa de lujo…sorpresasDespués de reservar una villa de lujo en Tenerife para 15 días, HOME FOR GUEST, “ colaborador” o como queráis decir de booking, me dice al día siguiente(después de cobrarme) que hay obras en las casas de al lado. Yo le pido a la chica de homeforguest que me anule la reserva, que vamos a descansar. Me responde que hable con Booking. Booking que dos otros tienen la última palabra. Total que se pasaron la pelota y ninguno me solucionó nada. Así que me tuve que fastidiar y “disfrutar “ de unas obras que me dieron las vacaciones. Allí me encontré que además había dos excavadoras taladrando desde las 7:20 de la mañana y aunque me quejé otra vez nadie solucionó nada. Todavía estoy esperando que me llame Booking.Un consejo para los compradores: sino se ofrece la cancelación gratuita buscar otro sitio."
6,4,"Suele funcionar bienHe reservado hoteles con Booking muchas veces y todo ha ido bien. Ojo, es cierto que, normalmente, si vais a mirar la web oficial del hotel en concreto que queréis reservar suele ser más barato ahí. Pero bueno, son intermediarios y tienen que cobrar su comisión."
7,1,"COBRAN Y RECHAZAN RESERVAHe realizado una reserva en un hotel donde existía disponibilidad y cuando he realizado el pago con tarjeta de debito a través de mi banca digital y tal cual se me hace el cargo me contestan con este mail:""Tu reserva se ha rechazadoHemos anulado tu reserva en Fénix Torremolinos - Adults Only Recommended y te hemos devuelto el dinero porque no pudimos confirmar la reserva con nuestro proveedor. Sentimos las molestias.Comprueba los datosFénix Torremolinos - Adults Only RecommendedNúmero de confirmación 7163695892453604323Código PIN 611429Datos de la reserva3 noches, 1 habitaciónEntradaviernes, 14 de julio de 2023Salidalunes, 17 de julio de 2023Te hemos reembolsado€ 443,59El reembolso está de camino, pero el tiempo que tardes en recibirlo depende de tu banco. Si tienes alguna pregunta, contacta directamente con tu banco""Con lo cual no tengo reserva ni 443,59€, intento contactar telefónicamente con ellos y cuando me piden que introduzca el nº de confirmación no dicen como, tecleándolo no funciona y dictándolo tampoco.El banco me dice que debo esperar 3 o 4 días laborales para ver la devolución y que si no lo devuelven entonces reclamar.Unos sinvergüenzas, vamos."
8,1,"UNA PESADILLALa experiencia con booking vuelos ha sido nefasta. Reservamos un vuelo hace meses, y hemos tenido problemas con ellos desde el primer día. Tampoco puedes gestionarlo con la aerolínea ya que ellos te remiten al intermediario, que en este caso es booking. Para empezar no tienen atención al cliente en habla hispana, tienes que gestionarlo todo en inglés, para el que no sabe, ya es un gran problema. Hemos tenido problemas desde el primer día cambiándonos día y hora de vuelo, nadie supo darnos explicaciones. A menos de 24 horas del vuelo, cuando nos ponemos a hacer el check in, resulta que no podemos porque alguien de booking no gestionó bien la reserva. Llevamos toda la tarde llamando por teléfono, a menos de 24 horas de nuestro vuelo con TODO RESERVADO Y PAGADO. UN MES ENTERO DE HOTELES, VUELOS INTERNOS, RESEVAS DE VEHÍCULOS, SEGURO DE VIAJE, DE SALUD, VISAS... TODO y sin una solución. Esto es una vergüenza."
9,1,"Que vergüenza bookingQue vergüenza booking. Reservo un apartamento, cuando llego me dicen que ya estaba reservado y booking la única solución que me da es que pague otra habitación. Me parece vergonzoso!!!! He estado 2h esperando una respuesta y he hablado con 3 personas diferentes testigos para decirme que lo que tengo q hacer es pagar otra habitación más cara y peor. No pienso reservar más con esta gente, son unos cara duras"
