,Estrellas,Reseñas
0,5,"Muy intuitiva y rápidaMuy intuitiva y rápida, al acabar, asustado me di cuenta que me faltó añadir la siña de la niña, la pude modificar fácilmente en el correo que me llegó luego. De momento muy bien todo"
1,5,"Usabilidad, variedad y precios excelentesLa usabilidad de la página es excelente. Además hay mucha transparencia en precios y condiciones, y mucha variedad de opciones y filtros"
2,5,"Fue muy sencillo el accesoFue muy sencillo el acceso, el pago, me falta valorar el servicio de la compañia de alquiler"
3,4,"Reserva coche HelsinkiAcabo de hacer una reserva de un coche en Finlandia, cuando vaya a buscarlo podré valorar si ha sido una buena experiencia, ahora mismo solo puedo decir que hacer la reserva y el pago ha sido fácil"
4,1,"Muy mala atenciónAparte de que el servicio en destino, ha sido muy poco recomendable. Al llegar puse una reclamación buscando explicaciones y soluciones y 10 días después sigo sin recibir respuestas por su parte."
5,5,Fue fácil reservar y más económico que…Fue fácil reservar y más económico que otras empresas de alquiler de coches.
6,5,"Se reservó el coche onlineeconomico y fácilSe reservó el coche online . Buen precio, información completa, muy rápido y fácil"
7,5,"De momento solo he hecho la reservaDe momento solo he hecho la reserva, pero me ha resultado sencillo y además me ha ofrecido mejor precio que otro comparados."
8,1,Son unos sinvergüenzas.anule la reserva…Son unos sinvergüenzas.anule la reserva a los minutos de haberla hecho y Pagué 75 euros y solo me devolvieron 10 euros.
9,1,"Una vergüenza, nunca mais...Llegamos al aeropuerto de Tánger y nos hicieron esperar 2 horas.No había una oficina al uso.Vino un señor con el coche y a la hora de hacer el pago nos dijo q teníamos q pagar otro seguro de 140 € a parte del seguro de 53€ q cogi con carjet.Me parece una vergüenza.Nunca mais."
10,5,"BUENA EXPERIENCIAFue rápida y efectiva, resuelta en cuestión de minutos"
11,5,FACIL Y COMODOTodo ha sido muy fácil para alquilar el coche.El poder tener seguro a todo riesgo me da mucha seguridad.Precios muy asequibles
12,4,"AGILAGIL, RAPIDA Y CON BUENA OFERTA, AUNQUE HE PODIDO VALORAR QUE TRABAJAN CON ALGUNA EMPRESA DE ALQUILER DE COCHES CONFLICTIVA."
13,4,"FUE RAPIDA Y EFECTIVAFUE RAPIDA Y EFECTIVA, AUNQUE TUVE QUE TUVE QUE METER LOS DATOS DEL PAGO EN VARIAS OCASIONES PUES NO ESTABA ACTIVO(ME DABA UN NUMERO DE REFERENCIA) QUE SE CORRIGIO ENSEGUIDA(A LAS 2 HORAS)"
14,5,"Es una pagina muy fácil de seguirEs una pagina muy fácil de seguir e intuitiva, da mucha información y sobre la oferta"
15,5,Web rapida y sencilla.Web rapida y sencilla.En un momento se hace el tramite.
16,5,"Las opciones fueron bien explicitadasLas opciones fueron bien explicitadas, la búsqueda ágil y simple, buenos precios y respuesta inmediata"
17,5,Rápida y eficaz y súper económica e…Rápida y eficaz y súper económica e intuitivo con muchos filtros como la transmisión automática o manual que era lo que quería yo.
18,5,Facilidad de reserva y buen precio
19,5,"Buenas ofertas y fácil para lograr el…Buenas ofertas y fácil para lograr el objetivo,gracias"
20,1,"Carjet es la peor empresa de alquiler…Carjet es la peor empresa de alquiler que he visto en mi vida. Pésimo servicio, casi no cogen el teléfono. Fui estafado,no pude recoger mi coche en el aeropuerto y tampoco me devolvieron el dinero. Ojo a la hora de reservar con esta empresa."
21,5,"Todo muy bien buena web para alquilar…Todo muy bien buena web para alquilar coches, ya use hace años esta misma empresa y no tuve ningún problema!!"
22,5,"me ha resultado fácilme ha resultado fácil, rápido realizar las operaciones"
23,1,"No pude alquilar me vuelven a cargar casi 1 año despuesNo pude alquilar el coche, me dijeron en la oficina que me devolvian el dinero y me lo han vuelto a cargar en la tarjeta casi 1 año después. Imposible contactar con empresa para reclamar. ING Mastercard no ha resuelto reclamacion y me ha vuelto a cargar el importe sin darme más detalle.Ahora denuncia en consumo y demandar a ambos."
24,4,"Fácil y a precio razonableLa reserva del coche, la hice sin problema alguno y, lo más importante, el precio me parece muy competitivo. Ahora, espero que la experiencia con el coche sea la deseada"
25,5,"Acabo de rentar un coche con ustedes y…Acabo de rentar un coche con ustedes y el sitio fue muy fácil, me llevo de la mano con lo que necesitaba. Espero que en septiembre que llegamos a Europa, no tengamos ningún problema y nuestro viaje sea maravilloso."
26,5,La web fácil de usar y ningún problema para contactar por teléfonoLa web fácil de usar y las personas con las que hablé para tratar un par de cosas fueron encantadoras.
27,5,"Buena experiencia en cuanto a la realización de la reservaBuena experiencia en cuanto a la reserva, fácil y rápido.Ya veremos cuando tengamos el coche...volveré a valorar."
28,5,Alquiler de coche para DublinDe momento bien. A ver si cuando vayamos siguen trabajando igual de bien
29,5,"No llega como primera opción pero…Llegue a esta web porque el resto no funcionaba bien, aquí todo correcto, rápido, preciso y más barato"
30,5,Gestión fácil y RápitaGestión fácil y Rápita. Excelente precio
31,1,"DevoluciónEscribí varios mails sobre una devolución, dirigidos a las direcciones de vuestra web, y , y todavía no me han realizado la devolución. Para estos casos, convendría que alguien atendiera por chat o teléfono, o contestara a los mails más rápido."
32,5,"TODO DE MOMENTO BIENTRAMITACION FACIL, RESTO ESPERO QUE OK"
33,5,La chica Martina que me ate rindo me…La chica Martina que me ate rindo me ayudado con todas mis dudas se aportado genial
34,5,"Muy buenoMuy bueno, a sido muy fácil reservar"
35,5,"excelente la páginaexcelente la página, muy ágil y eficiente"
36,1,"Muy mala experienciaMuy descontentaMe siento estafada.Alquilé un coche con seguro incluido, que parecia barato, para recoger en aeropuerto de MarrakechAl llegar al aeropuerto los de ADDCAR me dicen que tengo que contratar un seguro a todo riesgo con ellos, que me cuesta 150€, además de una fianza de 500€. Al devolver el coche me dicen que está todo bien, y al llegar a España me comentan que hay un pequeño golpe y que no me devuelven la fianza. Una estafa total. Ni ADDCAR ni CarJet se hacen cargoSi me dan un recibo conforme me devuelven una fianza y resulta que al llegar a España esa devolución nunca se hizo a quien tengo que reclamar?Vosotros que os ponéis en sus manos deberias advertir mejor de estos imprevistos. Esta claro que me han estafado, porque si he pagado un seguro a todo riesgo es para cubrir los daños, que en mi caso la compañía me dijo que los cubría. Y además me dio un recibo de la operación de devolución.A quien reclamo pues?"
37,3,"Después de estar 20 minutos al teléfono…Después de estar 20 minutos al teléfono colgué, quería solicitar una factura y el justificante de mi compra VISA por internet. Una vez hecha la compra sólo puedes contactar por teléfono, lo único que puedes hacer online es modificar o cancelar una reserva, no hay formulario de contacto. Quiero una copia de mi compra por internet y tendré que volver a llamar y esperar."
38,5,Muy rápida la reserva
39,5,"lo que necesitas sin floriturasrapida, intuitiva,con todos los datos necesarios y con claridad"
40,5,"La página web muy intuitiva y fácil de…La página web muy intuitiva y fácil de utilizar. Todavía pendiente de que coja el coche alquilado, veremos si todo va bien. Lo contaré."
41,1,"IMPRESENTABLES!!IMPRESENTABLES!!! La empresa de alquiler Greenmotion dice que depende de ustedes que nos devuelvan el dinero por un coche que no nos dejaron alquilar, y ustedes me dijeron lo contrario, que dependía de ellos. Tengo el email con la respuesta de Greenmotion asegurando que ustedes deciden sobre la devolución. Exijo saber quien de los dos se quedó el dinero y se devuelva, ya que era de cancelación gratuita y les estuvimos llamando cuando no nos querían dar el coche y no contestaron"
42,5,INFORMACION CLARACONSIDERO QUE LA INFOAMRCION PROPORCIONADA ES SUFICIENTE. TODO DEPENDERA SI SE CUMPLE DESPUES CON LO QUE AQUI SE PONE.CREO ES PRONTO PARA PREGUNTAR ES MI UNICA PEGA
43,5,Viaje a MaltaMuy fácil realizar la reserva.
44,5,"FUE INTUITIVA Y CONSEGUI CONTRATAR EL…FUE INTUITIVA Y CONSEGUI CONTRATAR EL COCHE CON FACILIDAD, QUISIERA SABER SI ES NECESARIO EL CARNET DE CONDUCIR INTERNACIONAL O CON EL ESPAÑOL ES SUFICIENTE?  GRACIAS"
45,5,Ha sido fácil y rápido contratar el…Ha sido fácil y rápido contratar el alquiler del vehículo y además los más económicos
46,5,Reserva duplicada…Me ha resuelto mi problema cancelando mi reserva
47,5,CAMA JACKO CON PATASAún no he recibido el producto pero la web funciona bien y sus productos resultan muy atractivos. Cuando me llegue la cama podré opinar mejor
48,5,"EXELENTE EXPERIENCIA PARA RESERVAR CON CARJETESTOY RESERVANDO COCHES PARA 4 ISLAS EN…ESTOY RESERVANDO COCHES PARA 4 ISLAS EN GRECIA Y LO HE PODIDO HACER CON MUCHA FACILIDAD, ESPERO TENER UN BUEN COCHE Y BUENA ATENCION, GRACIAS"
49,5,"Muy rápido todoMuy rápido todo, muy claro, toda la información disponible, amplia la oferta mostrada."
50,4,"La más económica a igualdad de condicionesBusqué en Internet una agencia…Busqué en Internet una agencia económica de alquiler de vehículos y salió Car jet en primer lugar según mis exigencias del momento.Me gustó el precio y no lo dudé. Contraté al instante.Así pues, puedo decir que fue el precio lo que me animó a contratar con Udas.Como aún no ha llegado la fecha de retirar el vehículo, no puedo saber como es la calidad del servicio.Espero que se tan buena como el precio."
51,3,"Coches disponiblesIndica que tienen coches de una categoría y luego no hay, cuando vuelves a entrar sigue poniendo que hay, eso de debería solucionarse"
52,1,Garantía en depositoNo me gustó que al contratar no de dijeran del depósito a realizar con la tarjeta de crédito de 1.150 Euros por garantía!! Me enteré de la misma cuando me mandaron mail de confirmación de contrato!! No tuve opción previa de decidir antes de contratar!!
53,4,"La vengo usando desde hace varios añosLa vengo usando desde hace varios años, nunca tuve inconvenientes y con unos precios excelentes, espero que siga asi"
54,3,"Acpectos posit y negatAcpectos positivos: alquiler desde el Internet,  evitas colas y perder el tiempo , precio razonable ..Aspectos negativos: las condiciones del alquiler no son claras , tengo que dejar 1450eur de deposito aunque tengo la cobertura primium,  y eso te lo comunican por email después de terminar la reserva .."
55,4,FacilidadRápido y comodo
56,1,"Modificación de la reservaHola. Ayer hice una reserva de un coche con  ustedes y cometí varios errores que intenté modificar después a través de la opción de modificación de la reserva. Puesto que no he recibido ningún mail confirmando el cambio en la reserva, acabo de llamar  a los 4 números de teléfono que aparecen en atención al cliente y ninguno de ellos está operativo.Espero respuesta por su parte."
57,2,El depósito que te piden es desproporcionadoEl depósito que te piden es desproporcionado más aún cuando has contratado el seguro premium 997€ He anulado la reserva yo y otro familiar
