,Estrellas,Reseñas
0,5,"Todo perfecto !!He utilizado este servicio 3 veces y en todas ellas sin ningún problema . Preparas tu cesta , seleccionas este servicio , pagas la primera cuota de 3 y listo."
1,1,"Rechazan los pagos por este medio por…Rechazan los pagos por este medio por que sí, sin ningún motivo aparente... no es comprensible, no he sido capaz de realizar ninguna compra por este medio... Ya que lo rechazan al menos podrían dar algún motivo, pues en mi cuenta tengo fondos de sobra para permitirme realizar las compras indicadas."
2,1,"Una vergüenza, nada confiableUna vergüenza, tuve que anular mi tarjeta  y cuando dispuse de una nueva, no tenía redirigidas mis cuentas, por lo tanto no me enteré de que mis pagos aplazados no se estaban realizando. Me entero MESES después y de casualidad porque entré en mi cuenta, NO RECIBÍ NI UN AVISO de tal incidencia en este tiempo, por consiguiente acumuladas deudas y que serían cada vez mayores si no llego a entrar en mi cuenta de casualidad, claro que ellos beneficiándose de mi desconocimiento por supuesto. La atención al cliente pésima, asegurando que sí mandan un correo, cuando pido varias veces que por favor se me muestre no obtengo respuesta, entonces el argumento es que el mensaje es ""mera cortesia"" que no es su obligación, BOCHORNOSO.En resumen, como por cualquier circunstancia se produzca un impago,NO te avisan de ello en ningún momento generando en tu perjuicio por supuesto una reiterada deuda. No pienso volver a operar con ellos. Una falta de todo y desde luego para nada confiable, mucho ojo porque no te avisan de nada y se benefician de tu desconocimiento acumulando una deuda cada vez mayor"
3,1,"Muy malTuve que pedir una nueva tarjeta por extravío y se me olvidó cambiar la tarjeta para dos pagos que tenía pendientes y cuál es mi sorpresa cuando dos meses después, de casualidad porque iba a hacer otra compra, veo que tengo dos impagos con un recargo de 12 euros cada uno. Tan difícil es enviar un correo avisando de que hay un impago para poder solventarlo en el momento? Para que nos piden entonces los datos?? No volveremos a comprar jamás y lo daremos de baja como método de pago en nuestro establecimiento."
4,1,"Señores/as que no os engañenSeñores/as que no os engañen, que como ya dije, por aquí intentan quedar bien como que te ayudan pero realmente no hacen nada, no nos dejan pagar y el mensajito para que pagues sigue llegando, veis la lógica? NO, pero para ellos sí porque obviamente nos están estafando señores... llendo de listos.Eso sí, denunciarles sin pensarlo como he tenido que hacer yo.por ESTAFADORES"
5,3,Buena la experiencia hasta hoy que…Buena la experiencia hasta hoy que trato de adelantar cuotas y no me ha me dice bloqueada y me envían mensajes que no he pagado. Pero como pago si está la cuenta bloqueada me dice no tiene medio de pago válido o que están teniendo problemas que lo intente más tarde.
6,1,"PÉSIMOSComo tienen tan poca verguenza de mandarte mensaje diciéndote que no es posible cobrar nada cuando ni siquiera te permite su página acceder al detalle de financiación para poder pagarlo. Tienen muy poca verguenz, voy a ponerles una demanda como me reclamen algún importe de penalización."
7,1,Me parece indignante que no m cobren el…Me parece indignante que no m cobren el plazo de 15 euros y m manden un email que tengo q pagar 21 euros cuando en el banco hay dinero para pagar esa cantidad..Voy a denunciarlos porque veo que esto es una estafa.Quiero que de una vez me cobren ese dinero sino voy a tomar las medidas necesarias
8,1,"Estafadores y abusivosRealicé un pedido en Primor y como era sin intereses probé Clearpay ya que nunca había utilizado. La experiencia no ha podido ser más nefasta, son estafadores. Perdí hace unos días mi tarjeta y el pago tenía que realizarlo el día 29/01. Me ha llegado mi nueva tarjeta y he ido a registrarla y por 3 días me han cobrado intereses. No me enviaron ninguna notificación de que el pago no se había podido efectuar ni nada. He saldado todo y cerrado mi cuenta porque son unos estafadores y es muy abusivo que por tardar 3 días en hacer el pago de forma justificada por motivos evidentes te metan intereses."
9,1,"no responden ni mails ni llamadasLo pondre por aqui que veo que es mas eficaz, hice una compra en shein y debia pagar 10.75 euros el 21 (hoy), desde el 19 intento poner mi tarjeta ya que la cambie y tenia que actualizarla y me sale con que estoy bloqueada, he enviado 3 mails y no me responden, cuando encuentro algun numero me dice que es erroneo, esto es una burla y una verguenza, necesito que me activen nuevamente para pagar y jamas volver a comprar nada con vosotros.Ya he enviado 3 correos dejen de poner que lo solucionan cuando no es asi.... A ALGUIEN YA LE SOLUCIONARON EL PROBLEMA?"
10,1,Te dicen que les escribas pero nunca…Te dicen que les escribas pero nunca contestan. Aquí dejan mensajes automáticos para que parezca que hay atención pero nada más lejos de la realidad. Quiero mi dinero! Vergüenza!Ya lo hice dos veces y no hubo respuesta. Lo envié a vuestro correo.
11,4,"No me deja pagarHola, estoy intentando realizar el pago y me pone que no tengo ningún método de pago válido..las tarjetas están operativas y estoy bastante agobiada por el asunto. He mandado email a info@ clearpay.com.Ruego, por favor, me indiquen como más puedo proceder para abonarlo y evitar sobrecoste.Gracias de antemano"
12,1,"Denuncia por duplicado de tarjetaBuenas, Me están haciendo cargos en cuenta por compras q no he realizado, no tengo cuenta en su pagina, me han duplicado la tarjeta y continuó recibiendo mensajes por no poder cobrar las compras. Necesito hablar con ustedes por teléfono y dejar todo este tema aclarado. La denuncia en la policía la pondré mañana por el duplicado."
13,1,A mi me pasa lo mismoA mi me pasa lo mismo. Me iban cobrando mis cuotas todos los meses sin ningún problema y de repente recibo un email indicandome q verifique mi tarjeta. La verifico y me dicen error ( la tarjeta funciona correctamente) intento ponerme en contacto con ellos a través de un tlf y a través de email y es imposible q me cojan el tlf y no me contestan al email. Quiero estar al día con las cuotas o liquidar todas las que me quedan pero no sé q es lo q pasa ni sé cómo hacerlo. Me parece todo ésto una verdadera estafa. Lo pondré en manos de abogados.
