,Estrellas,Reseñas
0,5,"Super recomendableTienda impecable. Productos de altísima calidad y diseño inmejorable.Super feliz con todo lo comprado en CREATE (Frigorífico retro, ventiladores de techo, electrodomésticos pequeños...)Servicio postventa de 10, me quito el sombrero. Tuve un problema después de un año sin incidencias y lo resolvieron rápido y con efectividad.GRACIAS!!!"
1,2,"No atienden mi devoluciónVeo que no soy la única que tiene una devolucion pendiente de confirmación. Formalicé devolución de un ventilador, dentro del plazo de 14 días desde la entrega, a través de la aplicación porque no funciona correctamente, haciendo un ruido de motor. Según lo montamos y comprobamos el funcionamiento incorrecto, lo guardamos en su caja impecable. La caja, por cierto, no correspondía con el solicitado por lo que deduzco, y esto es solo mi opinión, que sería una devolución previa de otro cliente. Después de varios días esperando respuesta via aplicación y vía mail, aún no han atendido mi devolución. Y eso que he pedido bono porque quiero comprar otro igual, eso sí, que funcione correctamente, pero ni con esas. Así que viendo que por esta vía Create sí responde, pongo este comentario a fin de obtener una respuesta lo antes posible. Si no fuera por este problema, mi opinión habría sido positiva, pero después de esto, no puedo opinar igual. Lamento tener que hacer un comentario así..."
2,4,"En un principio tuve malas sensacionesEn un principio tuve malas sensaciones, solicite por correo una respuesta a mi pedido, pero segun me cuentan no le llegó mi correo. Hoy contactaron conmigo por telefono y todo se ha solucionado, esgpero por tanto recibir el ventilador para el pròximo día 24."
3,2,"Ha dejado de funcionar en menos de 1 añoHace menos de un año compré el aspirador sin cables cyclonic. El cual, a día de hoy, ha dejado de funcionar porque no carga. Por lo que, dada la experiencia, no lo recomiendo y me encantaría que me lo remplazaran por uno nuevo o repararan, ya que, no tiene ni un año."
4,5,"Ventilador de techo wiffi luz . MaravillosoHace 20 días compre ventilador de techo con luz, y es una maravilla súper silencioso a no ser que lo pongas a tope que entonces algo se escucha. El regulador de luz me encanta pensé que ni lo iba a utilizar. Un gran producto.👏👏 y el envío fue muy rápido. El montaje es muy sencillo si eres un poco manitas.  Y la aplicación está muy bien."
5,4,"Cafetera multiusosComo leo muchos comentarios sobre ventiladores, voy a comentar sobre la cafetera que compré. Es una cafetera con la cual puedes usar dos tipos de cápsulas, dolcegusto o nespresso. Llevo con ella alrededor de un año y no tengo queja, no la uso a diario por que soy más de cafetera italiana, pero si con cierta regularidad. Si he de poner una pega es que antes de usarla hay que pasar agua por todos sus conductos unas cuantas veces ya que el sabor es horroroso, de hecho también tiene accesorio para café molido y con ese el café es terrible. Pero con las cápsulas, genial"
6,2,Si se te estropea algun articulo…Si se te estropea algun articulo comprado aqui lo tienes claro. Os había puntuado demasiado bien y ahora rectifico
7,5,"Gran respuesta post ventaEl receptor estaba defectuoso a la entrega, En 4 días tenia el nuevo receptor funcionando perfectamente. Muy buen servicio post Venta"
8,2,"Servicio post-venta lento e inexistente por ahoraHola, compré dos ventiladores Create a finales de este mes de junio (dia 26) Pedido IDEADPZER (ya compré dos el año pasado y sin problemas), pero estos dos ultimos que he comprado, uno sin problemas, y el otro montado y todo como el otro, y no funciona.Abrí incidencia el mismo dia de instalarlos, despues de muchas llamadas en las que sale un contestador, me contestan y me dicen que tengo que abrir incidencia para proceder a la devolución (3411126)y que me entreguen otro que funcione. No me han llamado ni nada para aclarar como proceder. Sigo llamando para preguntar y he hecho varios cuestionarios que tienen, para preguntarles como esta la devolucion y no me contestan ni llaman. Compré dos más porque estaba muy contento con los dos del año pasado, pero, claro, con los del año pasado no tuve ningun problema...Consulto en mi zona cliente, y está la devolucion en curso pero no he recibido el ventilador de cambio.Por ahora, el servicio post-venta no existe. Va a pasar el verano y veo que no tendré ventilador.La solucion de estos problemas ha de lo mas agil posible, uno se compra el ventilador para cuando hace calor. Si no se soluciona pronto me veré obligado a proceder por otra via Gracias"
9,5,Son resolutivos y eficazes tengo varios…Son resolutivos y eficazes tengo varios productos sin problemas y cuando surgen solucionan rápidamente.
10,2,"La entrega en 24/48 h nadaLa entrega en 24/48 h nada. Han tardado 7 días. Lo reclamas y ya, una vez entregado en el plazo que han querido, cancelan la reclamación…👍A ver cómo va el aparato ahora, pero que no vendan una entrega inmediata, porque no ha sido así. Si lo llego a necesitar, pues me fastidio. En fin…"
11,4,Llegó en tiempo acordadoLlegó en tiempo acordadoTuve problemas en la instalación por falta de conocimiento.Contacté con el equipo de posventa y me contestaron muy pronto Finalmente por medio de YouTube vi cómo tenía que equilibrar el ventilador.Estoy muy contenta
12,5,"Buen servicio postventa. Contento con los aparatos.Tengo 2 ventiladores modelo WINDCALM DC - Ventilador de Techo 40W uno con un año y otro con dos y un robot aspirador modelo Netbot S18 y la verdad es que hasta ahora estos aparatos se han comportado bien. El aspirador lleva bastante tralla y trabaja sin rechistar. Los ventiladores, uno de ellos dio un problema con el LED que se terminó fundiendo, pero tras completar el envío de videos y fotos, me enviaron el LED completo y además el receptor junto con un mando a distancia para que lo sustituyera. Si bien es cierto que toda esta instalación la hice yo mismo, pero fueron bastante rápidos. Ahora he comprado hace unos días otro modelo de ventilador de la misma marca que también va bien. Por cierto, en mi caso, los ventiladores, tras uno y dos veranos completos de bastante uso apenas hacen el ruido de giro de las aspas, sin ninguna vibración ni ruido espurio. En general muy contento con los aparatos adquiridos hasta ahora y con el servicio postventa, si bien es exigente en cuanto a fotos que requirieron desmontar el ventilador, respondieron rápidamente."
