,Estrellas,Reseñas
0,1,"Despegar.com = ladrones.comDespegar.com = ladrones.com . Nunca compren a estos estafadores, Si hay algún problema y no se hace el viaje por motivos ajenos a tí, no te devolverán nada, no se harán cargo, y no tendrás a quien reclamar. De un viaje que pagamos 100% adelantado a Iguazú, aéreo, hotel y traslados, no pudimos recuperar nada. Es increíble que les permitan hacer anuncios por medios masivos con total impunidad."
1,1,"PEOR AGENCIA DEL MUNDOPEOR AGENCIA DEL MUNDO, CANCELARON MI RESERVA Y NUNCA DEVOLVIERON EL DINERO, SE ECHAN LA CULPA ENTRE ELLOS ."
2,1,"NO USEN DESPEGAR.COMLamentable que para escribir un comentario haya que colocarles al menos una estrella, con base a mi experiencia no les pondría ninguna... NO USEN DESPEGAR.COM... Compré con Despegar un vuelo para el 01/07 Valencia (España) - Madrid - Santiago de Chile, el día 16 de junio vía mail me enteré por la línea aérea Iberia que mi vuelo Valencia - Madrid estaba cancelado, a casi 24hrs antes del vuelo son incapaces de brindarme una solución, me he comunicado con Iberia por ser quien vuela la ruta y no pueden hacer nada por ser un boleto comprado en ""agencia"", me comuniqué con LATAM que es con quien ticketearon el boleto y con Despegar e indican que la reserva no tiene información de cancelación, que todo está ok y que debo pagar si quiero un cambio. Sigo varada en Valencia sin que me resuelvan y sin poder pedir reembolso de mi dinero por estar el vuelo para check-in... Despegar son de lo peor, mala atención, mal servicio y de paso estafadores porque se quedan con el dinero. Tengo todo el respaldo de la cancelación y la nula atención de Despegar así que con todo esto iniciaré la demanda para la devolución de mi dinero. NO USEN DESPEGAR.COM"
3,1,"Son una vergüenzaSon una vergüenza. Atención TELEFONICA al cliente INEPTOS.Atención REDES INEPTOS.Generan números de reclamos y nunca los siguen. Son MALEDUCADOS y MALINTENCIONADOS por momentos.Servicio post venta ,sin servicio. Se negaban a comunicarse con la aerolínea para solucionar una reserva,  al punto de perder el vuelo, la aerolínea lo soluciono (de mala gana, porque no les correspondia) y ellos me envían un mail: notamos que gestionaste modificaciones con la empresa ... a partir de ahora no podemos ayudarte a gestionar la reserva. La misma mañana del vuelo luego de 20 días de reclamos constantes.No pasa nada, hasta que pasa. Y cuando TE PASE,  NO VAN A SOLUCIONARTE NADA. ""Tu reserva tiene una incidencia"" JAMAS AYUDARON EN NADA."
4,1,"Son estafadores,se cagan en los clientes.Son estafadores.No compren a está agencia que tuve que contratar abogada para poder viajar ya que en pandemia se lavaron las manos literal , ellos se cagan en los clientes una vez que cobran.No tienen oficinas fisicas asi que ni a montoto podes reclamar.Lean miles de comentarios de gente estafada reales.Compren en agencias tradicionales queles van a responder y no como estas lacras que atienden extranjeros desde su casa y no se hacen cargo.Chau chau despegar."
5,5,"Con fecha 15 realicé una compra de un…Con fecha 15 realicé una compra de un ticket desde Quito a Houston,  ya está enviado el ticket virtual y está la reserva en la aerolínea. Muchas gracias."
6,3,"No cumplieron con el traslado del aeropuerto al hotel ahora el de regreso espero se realice,  el hotel perfectosAl llegar al aeropuerto de mexico no llegaron a buscarme tube que tomar un taxi,  ahora espero el regreso  me vengan a buscar .El hotel  cumple con lo que ofrecen"
7,3,"El viaje bueno pero con reservasEl viaje excelente, el alojamiento no es del nivel esperado el Hotel Arenales, no brinda lo esperado por un turista. Las habitaciones con falta de lamparas, las puertas de los baños podridas en la parte inferior, los lavatorios con gotas  de agua en lugar de agua normal. La atencion de los empleados muy buena, pero se nota falta de invrrsion y preocupacion de los dueños. La pileta compartida con otro hotel sin que el turista lo sepa. La sala de juegos toda tota. Las fotos que se publican no condicen con la realidad. Me extraña que Despegar no valore esta situacion"
8,5,"Excelente servicio y amabilidadExcelente servicio, atención, hospitalidad , limpieza,buen ambiente y servicios complementarios y asistencia en todo momento en HOTEL E POUSADA FAVARETO en INGLESES Santa Catarina, Brasil,Los recomiendo absolutamente Felicitaciones desde PERÚ"
9,1,Trato impersonal y no les importaHola :Entiendo que como agencia tan  impersonal es imposible den buena atención personalizada a cualquier cliente que tenga un problema  .  Yo llame varias veces y la atención recibida fue totalmente incordial incluso sentí trato agresivo por la persona que me atendió No recomendaría a nadie  porque no hay forma de tratar un problema si ocurre. Soy isabel
10,1,Renta carro lo peorRenta carro espantoso por despegar. Se supone que se recoge y se deja el carro en el aeropuerto el dorado y no es asi. Llega uno y es una agencia externa. Se puerde un monton de tiempo. No lo hagan. Y ya todo pago. De malas el cliente. Mejor rentar al llegar a aeropuerto
11,2,"Primera compra y mala experienciaPrimera compra y mala experiencia. Compramos tiquetes multi destino para 4 personas que incluían equipaje de bodega y equipaje de mano para los 4. Para nuestra sorpresa, a la hora del check in en el ultimo destino (de vuelta a casa), los tiquetes no incluían ningún equipaje. Al llamar (luego de buscar bastante un # telefonico donde respondieran)... la solución fue pagar el equipaje e iniciar un proceso de reclamo. Luego de varias llamadas para proveer los datos bancarios para devolución (pues no es que uno haga tranferencias internacionales todos los días jj), no se recibe el total de lo pagado (-$37), pues las comisiones bancarias en origen y destino corren por cuenta del cliente, aunque el error inicialmente fue de Despegar."
12,5,"Excelente servicioExcelente servicio. El traslado muy seguro, Irene y Cristina fueron muy amables al orientarme en todo momento ante cualquier consulta o duda que tuve en mi visita en Miami. 100% recomendados 🙂"
13,2,En el viaje no hubo ningún problema me…En el viaje no hubo ningún problema me gusto la puntualidad y coordinación por que hay que decir lo bueno . Pero el hotel Casa kiwi donde me alojaron intento estafarme si no están pendiente de la seguridad de sus clientes no vale la pena utilizar la app..
14,3,"DESPEGAR igual que el resto MALLas Agencias de turismo, sufrieron COVID, igual que los pasajeros, la diferencia radica en que ellos cobraron por servicios no prestados o prestados parcialmente, y nosotros PAGAMOS por lo mismo. para mis próximos viajes intento contratar directamente con prestados, sea hotel, transfer, cruceros, aéreos, etc., ya que DESPEGAR no está prestando buen servicio. contraté 2 actividades en Roma, y 2 en Florencia, estoy a 4 días de llegar y no tengo los Tickets, no atienden telefono, no responden por la APP tampoco por mail, lamentable situación de una empresa que hasta inicios de 2020 era solucionador de problemas y contrataciones de turismo"
15,4,Edestinos devuélveme mi dineroLa verdad muy buena Agencia de viaje. edestinos me robo mi dinero y tuve q comprar de Nuevo otro pasaje y aposte por despegar ls verdad muy satisfecho. Ojo es edestinos estan robando tu dinero
16,1,ESTAFADORES.ESTAFADORES.No compren nada con éstos estafadores.Hace 3 años estoy reclamando un pasaje que ellos me cancelaron cuando ya lo tenía comprado y pagado.Sigo esperando respuesta después de hablar con 100 personas como mínimo. LADRONES NO CUIDAN A SUS CLIENTES.
17,5,"buena experienciarealize la compra de 3 tiquetes para san andres y cancelaron la reserva por disponibilidad del vuelo , a los 11 dias me devolvieron la totalidad del dinero a mi cuenta. recomiendo despegar, fueron muy correctos en cuanto la devolucion"
18,1,"No se respetó ni reserva pagada de…No se respetó ni reserva pagada de hotel en Miami.Al llegar al hotel, con un día de atraso por problemas del vuelo desde Chile, en el hotel Aloft Dodeland Miami, me informan que la RESERVA ESTA ANULADA, porque la empresa DESPEGAR.com, con la cual tienen un jointventure no les confirmó ni reserva ni el pago digital realizado.El costo en estrés, de esta desagradable sorpresa es impagable. Compré un paquete avión+alojamiento en Miami para dos personas."
19,1,"Me dejaron en la calleHice una reservación que después tuve que cambiar para una semana después, me habían confirmado que el hotel si acepto el cambio. Ahorita estoy aquí, sin hotel porque cancelaron la reservación aún cuando el hotel me confirmo que no había problema con el cambio y que mi nueva reserva estaba hecha. Espero me devuelvan mi dinero."
