,Estrellas,Reseñas
0,5,Experiencia totalmente satisfactoriaPues mi experiencia es totalmente satisfactoria...me hice de eDreams prime y pasado el mes de prueba de me cobraron los 59.99€ correspondientes. Pero tuve q anularlo x circunstancias personales y dentro de los 14 días  siguientes al mes de prueba no tuve ningún problema. Por teléfono rápido y fácil. Gratamente sorprendida.
1,5,"Experiencia muy buena!Experiencia muy buena!! Además atención al cliente son muy amables y te resuelven todas las dudas y problemas que puedas tener, tuve el encanto de que me atendiera Sawy uno de los agentes más simpáticos y profesional que me ha resuelto lo que me preocupaba, muchas gracias!!!"
2,5,"1140825474011408254740 ! He tenido una confusión con mi vuelo a Ibiza este viernes día 7 de julio , es un vuelo muy importante para mi a nivel emocional pues mi hija cumple 18 años y lo celebramos este fin de semana , y me lo han solucionado inmediatamente así que muy agradecida a la profesional q me atendió ! Muchas gracias"
3,5,"Muy buen servicio de viajes y atención al clienteMuy buen servicio de viajes. Llamé a atención al cliente, y aunque es algo largo el tiempo hasta que consigues hablar con alguien, te solucionan tus dudas y en mi caso me solucionaron perfectamente un problema con mi cuenta."
4,1,ESTAFADORES Y CARA DURASOs hablo desde mi experiencia con eDreams Premium no hay diferencia ninguna ser premium o no serlo es la misma porqueria. No hay CHAT PREMIUM NI TELEFONO DE ATENCIÓN AL CLIENTE NI NADA QUE SE LE PAREZCA. Lo único que hay que tener es mucha paciencia y persistencia para reclamarles algo son unos sinvergüenzas te cobran sin avisarte cobros que luego tienes que ir a Denunciar a la Policía Nacional para que el banco te haga de nuevo el rembolso. Es una auténtica estafa como plataforma. Os aconsejo que busquéis otras alternativas para buscar vuestros vuelos o lugares de hospedaje o lo que sea.
5,3,"Cuidado con las llamadas a edreamsEl trato por los empleados que nos atendieron fue muy  bueno y profesional. Sin embargo, tuvimos que llamar a un montón de números porque nos iban derivando. Lo que me parece increible es que la consulta nos haya costado 25 euros, porque al parecer los números que nos iban dando no eran gratuitos, al contrario tenian un coste excesivo. Que verguenza."
6,5,"Eficiente y amable cancelaciónTardé un rato grande en que una operadora me atendiera. Sinceramente pensé que nadie me cogería el teléfono. Seguí las indicaciones y espere. Luisa, me hizo una gestión clara, eficiente y con mucha amabilidad."
7,5,"TRATO EXQUISITO DE ""ATENCIÓN AL CLIENTE""El trato de la agente de ""Atención al Cliente"" durante una gestión telefónica fue exquisito: educada, amable, comprensiva y colaborativa.Y, además, resolvió a mi favor una disputa de difícil solución, cuyo origen estaba en una torpeza mía al hacer una reserva.Número de referencia: 11977642880"
8,3,"Casi duermo el la calle!Muchas dudas o problemas, los puedes resolver mediante la app. Otros cuesta un poco que te atienda un agente. Desde unos meses antes, adquirimos vuelo más apartamento. No conseguía contactar con el apartamento por tlf. Ni por correo. Se lo comunicaba a edreams. Me dicen que 72 h antes del viaje lo iba a tener todo claro. Resulta que Expedia le proporciona el alojamiento, y cuando yo pedía información me daban la que le daba Expedia. Ya, el día del vuelo 3 horas antes de coger el avión,el 5° agente que me atendió, un fenómeno de agente. Le pidió a Expedia que ELLOS contactaron con el apartamento. Cuando vieron que no podían, me pidieron disculpas y me buscaron alternativa rápidamente. MUCHAS GRACIAS a ese agente de Edreams."
9,1,"EDREAMS SON ESTAFADORES.EDREAMS SON ESTAFADORES.Compre mi vuelo antes del COVID, por tal motivo fue cancelado por la aerolínea, realice la solicitud de reembolso en 2020, después de 3 años de correos, llamadas y corajes, ahora me salen con que la aerolínea les dice que ya paso el tiempo para hacer el reembolso y ya no se puede hacer nada.CUIIIIIDAAADOOOO EDREAMS SON ESTAFADORES.Hugo Martinez (reserva 4982301911)"
10,1,"No reservéis vuelos RYANAIR con EDREAMSNo entiendo como pueden vender reservas de vuelo de Ryanair cuando dicha aerolínea no trabaja con ellos. No lo recomiendo, ya que si reserváis vuelos de Ryanair mediante EDREAMS después tendréis que hacer una verificación con Ryanair. Mejor reservar con Ryanair directamente. Tuve que estar con gestiones por ahorrarme 3€ reservando mediante EDREAMS.  Me salieron caros esos 3€ en comparación a los dolores de cabeza para resolverlo."
11,1,"inoperancia para lograr devolución de importe vueloCompre a través de Edreams 4 billetes de la compañia Wizzair del vuelo YDU76C para el 16-5-23, desde Castellón a Budapest. Pagué a Edreams 370,50 € con mi tarjeta de crédito el 28-1-2023. La aerolinea canceló el vuelo el 8-2-2023. Como no podía viajar en otra fecha, solicite el reembolso del importe, llevó 5 meses reclamando a Edreams y, además de que se tarda mucho tiempo en contactar con ellos, en cada llamada me piden un documento.Espero que me efectuen, por fin, la devolución"
12,5,"La agente que me atendió la llamada fue…La agente que me atendió la llamada fue muy buena. Paciente y me ofreció continuar con la suscripción, pero dije que no de momentos y más adelante probablemente continúe"
13,5,"Una atención perfectaUna atención perfecta, ya que la persona que me ha atendido Ahmed, me ha podido consultar y confirmar mi reserva 12054995159 ya que se encontraba pendiente de confirmación, y lo ha solucionado todo correctamente.Gracias por todo, muy satisfecha."
14,5,"Luisa es una agente super resolutiva y…Luisa es una agente super resolutiva y muy amable, a tenido paciencia y me ayudado en todo el proceso! estoy encantada. GRACIAS LUISA!!!!!!!"
15,5,El hombre que me atendio fue…El hombre que me atendio fue espectacular. No recuerdo su nombre pero excelente empleado. Super dispuesto amable y eficiente.
16,5,"Gracias al operador Roger Nieto mi…Gracias al operador Roger Nieto mi experiencia con vosotros ha sido agradable y exitosa. Me ha atendido, aconsejado y guiado perfectamente. Gracias."
