,Estrellas,Reseñas
0,1,"No puedo expresar con palabras la…No puedo expresar con palabras la pésima experiencia de compra en la tienda online del Corte Inglés. Debería darles vergüenza disponer de los recursos económicos del cliente y jugar con algo tan serio como son los derechos del consumidor. Últimamente no sé qué pasa en España, que se hace casi global la mala experiencia de compra en comercio online. Los teléfonos de atención al cliente son inoperantes, siempre ocupados sus operadores y jamás devuelven la llamada. NO RECOMENDABLE UTILIZAR COMERCIO ONLINE DEL CORTE INGLÉS. FUNESTA EXPERIENCIA."
1,1,"El corte ingles no responde cuando sus…El corte ingles no responde cuando sus instaladores hacen un destrozo en tu domicilio.Me refiero al de Arabial de Granada,destrozaron horno montando vitroceramica,y el c.ingles hace caso omiso.Solo queda Consumo,que es lento,pero seguro."
2,1,Servicio penosoServicio penoso. Habitualmente tengo que comprar tarjetas regalo por encargo de un cliente. No ha habido una sola vez (y han sido muchas) en la que no haya habido algún incidente. La última ha sido cancelar el pedido sin darme aviso porque el importe de las tarjetas no era en todas el mismo. No recomendaría a nadie comprar en el Corte Inglés
3,5,"Experiencia muy agradableEstamos muy contentos con la compra de la TV LG QNED 65. Fuimos atendidos en el Corte Inglés de Málaga y el trato fue excelente, recomendándonos la mejor opción según nuestras preferencias."
4,1,"Pésima experiencia de compra onlinePésima experiencia de compra online. El Corte Inglés no se parece ni de lejos a lo que era hace años. Pedido que no llega dentro del plazo, llamo a atención al cliente y ni me cogen el teléfono ni me vuelven a llamar según dice la voz pregrabada. Envío tres correos electrónicos diciendo que quiero anular el pedido que era un regaló de cumpleaños, puesto que ya el cumpleaños ha pasado, y no contestan. Intento anular el pedido en la web y resulta que no me da la opción. Al final, recibo un correo electrónico del Centro donde teóricamente tendría que retirar el pedido y me dicen que posiblemente llegará la semana que viene. En fin: experiencia absolutamente NEGATIVA."
5,1,"Tengo 7 días esperando por un pedido …Tengo 7 días esperando por un pedido  online,  pagado, sin rastro de el. Sin ningún tipo de ayuda de atención a cliente y sin poder reclamarlo (todas las consultas/reclamaciones no se guardan)Esta empresa, por grande que es, es una broma que tiene que dejar de funcionar online."
6,1,"Pésima experiencia de compra online en…Pésima experiencia de compra online en El Corte Inglés Empresas . Pedido que no llega dentro del plazo, llamo a atención al cliente y ni me cogen el teléfono ni me vuelven a llamar según dice la voz pregrabada. Envío tres correos electrónicos ninguna respuesta.  En fin: experiencia absolutamente NEGATIVA."
7,1,"Llevo mas de cuatro años intentando…Llevo mas de cuatro años intentando anular mi tarjeta de ""esa gente"", solo su nombre me horroriza, lo he hecho por varios medios y no hay forma. A ver si algún dia ocurre el milagro"
8,1,"Desastroso Comerio OnlineDesastroso.Pedidos llegan tarde, 3 o 5 días, o no llegan.Paquetes incompletos, que te cuesta 15 llamadas reclamar y anular.Otro q no compras más en el Corte Ingles online"
9,1,"PÉSIMA ATENCION ENTRADASPongo una estrella para poder escribir pero en realidad sería 0. Querer cambiar unas entradas para teatro de día, que por motivos familiares no podemos ir y no poder me parece vergonzoso. No quería abono, simplemente un cambio. Ya sé dónde no volverlas a comprar."
10,1,"Experiencia de compra SIEMPRE muy desagradableSiempre que pido algo en ECI y me lo tiene que entregar MRW, se producen siempre las mismas circunstancias: MRW es incapaz de entregar el pedido y ECI no responde ni resuelve ninguna queja, y por lo tanto el pedido se queda sin entregar. SIEMPRE es igual. En el caso de MRW, pasa lo mismo con cualquier comercio donde compre, NUNCA lo entregan. Lo pero es que ECI tiene cero capacidad de resolver nada. NO VUELVO A PEDIR NADA."
11,1,"Falta de Seriedad, esto no es el corte inglesEl día 8/6/23 realice una compra en la web de corte inglés, cuyo pedido es 2315952010239 “Chaqueta de longitud mediana antiviento de hombre, talla 4XL” y en la web había disponibilidad de dicha talla. Con un dto. del 30% en promoción y 15,33€ del bono de mi cumpleaños. Dicha prenda la quería llevar el 17/6/23 a un viaje programado.El día 12/6/23 me llega el pedido, pero con la talla equivocada, una 2XL y no una 4XL. Llamo al teléfono de ustedes y me comentan que se equivocaron y que me manda otra. Pero no puede ser en dicha fecha porque están viendo de que almacén me la mandan, pero seria en un mayor plazo, con fecha tope el 27/6/23. Y en dicha fecha 12/6/23 simulo una nueva compra en la web y si esta dicha prenda disponible.A fecha de hoy 28/6/23, llamo para ver donde se encuentra mi pedido y me comentan que lo anularon el 23/6/23 y que me mandaron un correo.Y les sugiero que revisen sus procesos en web, porque esto no es la imagen que yo tenia de El Corte InglesY perdi un descuento en la prenda del 30% y 15€ de descuento de un vale por mi cumpleñosUna verdadera Verguenza.Y por cierto, el servicio de atencion telefonica es nulo"
12,1,"EstafadoresHice una reserva la cual me cobraron pero no enviaron, asi que procedo a cancelar el pedido desde la web. Pasados unos dias y viendo que no me llegaba el reembolso contacto con ellos y me dicen que no les consta tal cobro, me piden pruebas del carto en el banco y demás varias veces, porque en las 5 veces que llamé durante 2 semanas siempre me pedían lo mismo pero nunca solucionaban nada. Al final tuve que reclamar el pago al banco."
13,1,"App no funciona correctamenteApp no funciona correctamente, se cuelga en la mayoría de selecciones.Es vergonzosa la aplicación."
14,1,"El corte inglés es un desastre…El corte inglés es un desastre absoluto, compras y no envían lo adquirido , llamas y nadie te da solución, al final anulo el pedido y nadie se interesa por el cliente.Acabo de tirar la tarjeta a la basura .Una pena con lo bien que funcionaban estos almacenes y lo están arruinando"
15,1,"No vuelvo a comprar a través de la web…No vuelvo a comprar a través de la web de El corte inglés o Hipercor. Funciona fatal, te cancelan los pedidos sin avisar y si no te metes a revisar ni te enteras, me dicen hoy que mi pedido (lo hice el lunes, hace 5 días) está paralizado porque hay un error en el pago... si no llego a llamar cuando pensaban informarme para solucionarlo?? No me llaman, no me mandan un email... y yo esperando el paquete que necesitaba de forma urgente antes del sábado... he cancelado el pedido y no vuelvo a comprar. La web funciona mal de por si pero encima el servicio post venta no me ha gustado nada. Es la quinta vez que tengo problemas con las webs de el corte ingles."
16,1,"Pongo una estrella porque no puedo…Pongo una estrella porque no puedo poner cero. Compré un ebook que me enviaron en una caja de otro modelo, sin cable y sin funcionar. El teléfono de atención al cliente dice que te devolverá la llamada. Llevo 15 días llamando. Fui a atención al cliente y según ellos me lo recogerían el 4 julio. Por aquí no ha pasado nadie. Sé dónde no voy a volver a comprar"
17,1,"Recogida pedido on line Corte inglés SanchinarroYa me ha pasado dos veces en el último mes... Venir a recoger un pedido notificado como disponible, y no tenerlo en el centro de recogida del Corte. Tenerlo que pedirlo a tienda, y esperar más de una hora para que lo bajen. Un desastre absoluto. Deberían quitar este servicio si la calidad es esta."
18,5,"Trasladar nuestro agradecimiento y…Trasladar nuestro agradecimiento y reconocimiento en ""Corte Ingles Méndez Alvaro , a traves del ""Servicio Técnico de sección Bicicletas, a la persona de gestión ""Dan el técnico que nos atendió ,Por la implicación profesional vocacional altamente dedicado en Corte Inglés, con orientación al cliente. Profesional excelente con gran valía y potencial , aportando valor añadido al servicio. En ésta ocasión es grato poder mencionar un servicio personal recibido muy positivo."
19,1,"Muy descontenta con el servicio de…Muy descontenta con el servicio de atención al cliente , todo el día esperando el pedido y nadie me informa de que finalmente no iba a ser entregado en la fecha prevista. No volveré a comprar por internet, y por supuesto anule el pedido"
20,1,Me bloquean tarjeta y sin explicacionesMe bloquean tarjeta y sin explicacionesRecibo todos los días mensaje de tarjeta bloqueadaLes he devuelto todos los recibosVeremos cómo van a cobrarSon unos desvergonzadosDeseo de todo corazón que tengan que cerrarLo malo son los currantes
21,1,"NO A LA COMPRA ONLINE EN EL CORTE…NO A LA COMPRA ONLINE EN EL CORTE INGLESCompro online a menudo y lo de el Corte Ingles es una mofa.Me tenian que enviar el pedido de manera urgente, franja de 4 a 6. Nada.Por el chat reclamo. Media hora. Me dicen que de 8 a 10. NadaDia siguiente me encuentro el mensaje que el pedido ha sufrido un retraso y ya me diran algun dia cuando lo entregan.Reclamo a traves del chat. Media hora. Nada.Eso sí, mi dinero en su caja.La peor experiencia de compra de mi vida. No repito nunca más"
