,Estrellas,Reseñas
0,1,"Son unos ladrones !!Son unos ladrones !!! Di 1 estrella porque no se puede dar menos. No se deje engañar!. En Palermo CIERRAN A LAS 20:00 cuando todas las otras compañías trabajan hasta media noche. Pero si por azar reservan, enfrente la rentcar Avis ofrece optimos servicios."
1,1,"NO ALQUILAR CON ELLOS!NO ALQUILAR CON ELLOS!!  Además de caros (picamos e hicimos un seguro adicional por ir cubiertos y tranquilos) dos semanas después de finalizar el contrato dejando el coche en perfectas condiciones nos acaban de hacer un cargo de 150€ en concepto de limpieza!!!! Limpieza de que???? Por supuesto, van con denuncia a la OCU, a la policía y donde se me ocurra."
2,1,"Alquiler de coche estafadoresTodos los años alquilo coche , la primera y la última vez con goldcar en Mallorca ....Reserve el coche por la web con seguro , pue sno les valía ese seguro qie metieron otro seguro 2 seguros una pasta para un coche por una semana ....Mirar más compañías está se ríen a la cara del cliente"
3,5,"Buena experiencia,después de leer malas…Buena experiencia,después de leer malas reseñas,recogida en aeropuerto de Prat en 1 minutos,fácil y rápido,Coche en muy buenas condiciones,ningún problema.No fiarse de reseñas negativas,para mí todo fue de 10.."
4,1,"Devolví el coche tal como lo alquilé y…Devolví el coche tal como lo alquilé y al cabo de más de dos semanas, sin ninguna prueba me cobraron 300€ porque decían algo sobre las llantas...Además, pidieron al coger el coche una   fianza de 1200€ que no estaba anunciada. Lo barato sale muy caro... cualquier otra compañía sería mejor..."
5,1,"Vaya EstafaVaya Estafa, señores estafa! Te roban en la cara con cargos premium, gastos de operaciones, coberturas inútiles y ya con lo del deposito full-full... Vaya robo, te retienen una cantidad y cuando devuelves el deposito lleno te devuelven la mitad.De 67€ me devuelven 40... Tremendo.Lamentable"
6,1,"ESTAFALlegas a coger tu coche a la ventanilla con el seguro premium y todo pagado y te dicen que si quieres un seguro a todo riesgo 105€ aparte que si te hacen un rallon, pagas la avería. Luego también me piden 65€ por el deposito de gasolina ""fianza"", se lo devuelvo lleno y me devuelven 35€. Sinceramente, lo barato sale caro... a ver si reclamando me devuelven la diferencia, aunque lo veo difícil."
7,5,Fácil y precio sin sorpresas.Te facilitan la recogida y entrega del coche y el precio sin sorpresas de última hora con las fianzas.
8,1,"Madrid Barajas pesima esperienciaMadrid Barajas: me cobraron km adicionales. En el contrato tenia 1050km, a mi me resulta que yo hice menos de 1000. Se me cobraron poco menos de 30km adicionales, sin que el empleado me avisara al check-out. Me llegò minutos despues la factura, cuando ya estaba lejos para contestarla. Yo hoy llamo para saber cual cuenta tienen ellos, los km que resultan iniciales y finales a ellos y para que me cancelen la factura y me dicen que tengo que iniciar un proceso de reclamacion y que la asistencia no tiene estos datos. Tienen precios de captacion para despues cobrarte mas. Cuando recogi mi coche el empleado super simpatico hasta que no acepte el plan adicional con seguro completo (ya tengo mi seguro por mi tarjeta de credito), me mandò solo a buscar el coche en el parking, sin numero de plaza (que dieron a otro cliente que llegò despues que yo). Nunca mas con ellos."
9,4,"Buen trato y amabilidad pero...Buen trato y amabilidad al recoger el vehiculo, y explicado perfectamente, lo unico que no veo logico es que te bloqueen 112 eur por recibir combustible lleno y a la.vuelta te lo desbloquean si lo entregas lleno, 112 eur no me parece nada razonable,yo se qu3 debo devolverlo lleno y 112 eur es exagerado. Y en fin el coche bueno justito de fuerzas Pero asequible"
