,Estrellas,Reseñas
0,4,"Bueno el vuelo de ida tardo más tiempo…Bueno el vuelo de ida tardo más tiempo , es decir me cambiaron el itinerario de una conexión. Sin embargo , me gustó quedarme en ese aeropuerto. De regreso una conexión fue al límite , bajándome y subiéndome pero lo traumático es que tuve que correr para alcanzar el siguiente vuelo . La plataforma es buena ."
1,3,"Lo barato sale caroSi obtuve una tarifa un poco más baja que en otras aéreo lineas, pero al final “Lo barato sale caro”Tuve que pagar otro equipaje, porque lo que ofrece l aéreo linea todo es extra.Encima de todo nos cancelaron el vuelo de vuelta a casa, ofrenciendonos un bookin a los 5 días sin ningún tipo de retribución.Obviamente compramos un boleto de vuelta por otra aerelonia y por EXPIDIA"
2,5,"Para todos aquellos que están nerviososPrometí hacer una reseña si todo salía bien. Este mensaje va para todos los que están nerviosos por haber comprado a través de Kiwi. Compré un pasaje para roma con mi pareja, me confirmaron el vuelo a los 20 minutos de finalizar la compra y me enviaron el boarding pass horas antes del vuelo. En el vuelo de regreso a Madrid tuvimos que hacer el check in directamente con la aerolínea, fui temprano por si había un inconveniente pero todo resultó muy fácil. Escribo este mensaje desde el aeropuerto esperando mi vuelo a casa :)"
3,5,"Buenos preciosEn la página donde he localizado los mejores precios. Además la estética de la web es agradable, y es fácil y rápida de usar.Volverá a ser una de las opciones que usaré para los siguiente viajes. Muy recomendable para comparar precios."
4,5,"Cómodo eficaz rápido sin colasCómodo eficaz rápido sin colasAl usar la aplicación estás más seguro de que todo va bien, las notificaciones indican que todo estás bajo control. En los aeropuertos nunca se sabe"
5,5,"Buena experienciaLa verdad, con ellos encontré muy buenas ofertas en mis vuelos. Me estuvieron informando, en cada momento, sobre cambios de los vuelos."
6,5,"Kiwi se encargó de los check-in de mis…Kiwi se encargó de los check-in de mis dos vuelos, lo cual quitó de mi parte la responsabilidad de hacerlos y fueron a tiempo."
7,5,"Puedes confiar en los tiquetes que…Puedes confiar en los tiquetes que consigues con ellos. Son tal cual la hora, lugares y fechas que te ofrecieron, no tuve problema con absolutamente nada y es más, hasta los check in me tenían listo."
8,3,Confusión precioPrecio señalado en pesos chilenos pero cargado a la tarjeta de credito en dólares ahí se fue toda la economía del pasaje al tacho. Las tarjetas de embarque no llegaban a mi correo pues se vinculó a kiwi y estos en el último tramo del viaje no las enviaron lo que fue molesto tener que llegar antes al aeropuerto y hacer filas
9,1,"EXPERIENCIA TERRIBLEEXPERIENCIA TERRIBLE. Me siento completamente estafado. Reserve un vuelo para Islandia, uno de ellos se retrasó y me hacen pagar por el cambio y ademas de tener que pasar una noche en Londres que tampoco me pagan. UNA VERGÜENZA!!!!! Por otro lado si quiero un reembolso con sus créditos solo me devuelven 100€ de los casi 900€ que me costaron los billetes. Pienso poner quejas en todas las plataformas habidas y por haber para que la gente sepa que tipo de servicio. He intentado hablar por telefono varias veces pero el de España está siempre fuera de hora. Del chat ni hablamos mejor. Un bot que solo te da alternativas autómaticas. El canal de comunicación es al igual que todo, LAMENTABLE!!! Debería daros vergüenza trabajar de esta forma y engañar así a la gente, que compra con vosotros los billetes con toda la ilusión del mundo y por vuestra culpa esa ilusión se va al traste."
