,Estrellas,Reseñas
0,5,"El trato recibido por el empleadoEl trato recibido por el empleado, así como sus indicaciones.La calidad del producto, así como la facilidad de las gestiones en tienda, también he de decir que era a primeras horas de la apertura y eso facilita que los vendedores estén mucho más disponibles, ya que hay menos afluencia de público.La aclaración de las dudas y la información recibida.Gracias."
1,5,"EL EMPLEADO QUE NOS ATENDIÓ FUÉ FUNDAMENTAL EN NUESTRA ELECCIÓN, TENÍAMOS DUDASPorque teníamos dudas, respecto a qué producto quedarnos y el empleado que nos atendió, fué tan amable que nos informó de todo y nos aconsejó, según nuestras necesidades. El vendedor 47684 fué fundamental en nuestra elección de productos."
2,5,Muy buen asesoramiento en informáticaFui atendida por un asesor de informática con mucho conocimiento y que me dio confianza en el proyecto que estaba comprando. Supo identificar que tipo portátil ofertarme en base a mis necesidades. Clienta muy contenta con la compra. Un 10 de empleado
3,5,"Increíble experiencia en MediaMarktNada más llegar, la chica que comenzó a atenderme es increíble, una trabajadora excelente, me facilito mucho la compra y es genial cuando vas a comprar y hay empleados tan amables y que se nota que hace su trabajo por gusto. También la forma de financiación es genial y muy rápida, con muchas facilidades para los pagos, realmente estoy súper contenta. En los papeles que me dio la chica que me atendió sale un número de vendedor, espero que sea ella, el número es (38241) ojalá se le reconozca lo bien que trabaja"
4,5,"La atención del vendedorLa atención del vendedor, amable, simpático y resolutivo, compré un teléfono la atención de la chica de Xiaomi también de 10.Trato excelente por parte de los 2 empleados!"
5,4,"AmabilidadAmabilidad, conicimiento del servicio del vendedor.Atención del personal de almacén.Mala atención, pasatez del personal de servicio de atención en caja de devolución, pero si muy bien personal de caja."
6,5,"Consulta rápida por InstagramHe hecho una consulta pequeña por el Instagram de MediaMarkt sobre la recompra de patinetes eléctricos. La respuesta ha sido rápida con explicaciones claras, y lo más importante, tratando al cliente de una manera excelente"
7,5,"Me atendió Kris un empleado super…Me atendió Kris un empleado super amable, me informó sobre  el servicio técnico y cono se iban a poner en contacto conmigo y hasta ahora todo lo que me dijo se ha cumplido y para mí eso es importante."
8,1,"Muy malCompramos un Smart TV de Xiaomi P1E al precio, que nos dijo el señor que nos atendió, de 191 euros porque en el estante no estaba expuesto el precio. Decidimos comprarla y por nuestra sorpresa al llegar a casa y mirar la factura pudimos ver que el televisor costaba 149 euros y nos vendió un seguro adicional para 3 años QUE NO PEDIMOS Y TAMPOCO NOS INFORMÓ DE ELLO por otros 42 euros. Lo considero una estafa"""
9,3,"Después de tres llamadas, logré recibir el producto que había compradoImagino que recibí mi paquete vacío debido a un error humano. Llamé varias veces al teléfono y me pidieron que esperase a que contactasen conmigo. Fue la última vez que llamé cuando un asistente se extrañó de que no me hubieran informado del procedimiento a realizar. Algunos días después de hacerlo, recibí mi producto."
10,1,"Una vergüenza la verdadUna vergüenza la verdad. No compréis en la tienda online si tenéis relativa prisa. Van con retraso aunque te aseguren que te llega tal día, imposible cancelarlo pero bien que te retienen el dinero en el banco para que no puedas solucionarlo de ninguna manera, pasan de ti en atención al cliente, Facebook (sólo te piden las cosas y luego ni contestan), en la tienda tienen el producto pero no pueden hacer nada porque el dinero está retenido y no cobrado... Una vergüenza de negocio y yo sin poder irme de vacaciones hasta poder solucionarlo. Denuncia a consumo y lo que haga falta porque a ver quién me devuelve a mi mis días de vacaciones (de momento 1 pero a saber)"
11,5,"En un principio ...En un principio no fue una buena experiencia, porque me atendió otro personal de la tienda y no me ayudo con nada, pero en cuanto acudí a la chica, ella me ayudo en todo lo que necesite y resolvió cualquier duda o pregunta que yo  tenía."
12,5,GenialMe dieron la opción de probar por sí no era compatible con la aplicación de necesitaba. Me han cambiado el reloj con otro compatible con lo que necesitaba. El trato con la vendedora fue perfecto.
13,1,"Congelador defectuosoBuenas tardes... yo estoy bastante disgustada con mediamark.....compre un congelador el.dia 19 de junio....cuando me llamo el.repartidor el viernes 23  por la mañana para entregarlo, como tardabamos 10 minutos en llegar (el repartidor no estaba aún en mi casa),decidió que no me lo entregaría hasta el lunes...El lunes ni siquiera llamaron y dejaron el papel enganchado a la reja de entrada ni siquiera en el buzón...Cuando hemos descansado del trabajo y hemos sacado el congelador,resulta que tiene un bollo bien grande en un lateral.....se los.comunico el sábado, enviando hasta dos veces las fotos y aún  sigo sin respuesta...y la atención telefónica fatal,no te solucionan nada .Ahí tengo el congelador sin poder utilizarlo,mañana tendré que ir a tienda a ver si allí son más amables y me solucionan el problema....porque yo he comprado un congelador nuevo no con una tara...porque si lo quisiera con una tara lo hubiese comprado en una tienda de segunda mano...."
14,1,Te dejan tirado en cuanto tienes un problema con un electrodomésticoLlevo una semana para que me envíen un…Llevo seis días para que me envíen un técnico para arreglar una vitrocerámica que tiene menos de un año. Está en garantía. Me piden muchas disculpas por el mal servicio que me están dando pero no me envían el técnico. Seis días sin poder cocinar. Y esto después de haber comprado en Mediamarket los electrodomésticos de 5 cocinas. Ya me tocó a mi ir a por la vitrocerámica porque la compré por la web y se equivocaron de dirección cuando la iban a entregar. Y ahora me dicen que me llamará un técnico que no llama. Pésimo servicio de atención al cliente. Les doy una estrella porque no se puede poner ninguna. Te dejan tirado en cuanto tienes un problema.
15,5,"Todas las personas a las que pedí ayuda…Todas las personas a las que pedí ayuda me la dieron y, si estaban ocupados, me indicaron quién podía ayudarme. Luego me atendieron otros que se ofrecieron para ayudarme a más cosas de las que les correspondían con especial amabilidad y paciencia."
16,1,"Hasta cuando???He abierto una queja en TrustPilot y Media Markt ha contestado publicamente que me ha enviado un email, pero NO ES VERDAD. No me han enviado ningún correo y tampoco me han devuelto el importe. HASTA CUANDO???"
17,5,"Hay de todo a buen precioHay de todo a buen precio, pero lo mejor es que los empleados son encantadores, súper amables, te escuchan con paciencia y atención, son muy simpáticos y sus conocimientos técnicos sobre sus productos es muy alta"
