,Estrellas,Reseñas
0,5,"Vendi mi coche en media horaVendi mi coche en media hora. Estaba muy rebajado de precio y era un modelo bastante buscado.Pero lo curioso es que en 24h recibi unos 20 mensajes de milanuncios, mientras que del resto de plataformas ni uno.Creo que para ofertones y productos populares milanuncios es la plataforma mas utilizada y la recomiendo.Quiza para temas mas específicos como deportivos, caravanas o autos de lujo quiza otras especializadas vayan mejor, pero como plataforma ideal para el grueso del mercado veo que milanuncios destaca de largo"
1,5,"SIEMPRE HAY UNA SOLUCIONME LLAMARON UNA PAREJA, PORQUE HABIAN VISTO UN MICROONDAS QUE TENIA A LA VENTA, QUEDARON EN VENIR AL DIA SIGUIENTE. MI SORPRESA FUE, QUE MI COMPAÑERO LE HABIA VENDIDO Y NO ME DIJO NADA, ENTONCES LES OFRECI OTRO MICROONDAS DE EXPOSICION AL PRECIO QUE TENIA PUESTO EN EL ANUNCIO. CLIENTE SASTIFECHO."
2,4,"web sencilla e intuitivaLa página web es sencilla e intuitiva, siendo muy fácil publicar y gestionar los anuncios. No obstante, desde móvil Android no es sencillo responder a mensajes cuando escriben varios mensajes ya que la ventana para contestar no aparece en la pantalla y hay que recargar la hasta conseguir poder escribir, de ahí la valoración de 4 estrellas. Por lo demás es.totslmente recomendable."
3,5,"Todo súper correctoTodo súper correcto, te deja publicar los anuncios sin problemas y las personas que contactan muy correctas. Buena aplicación para comprar y vender sanamente"
4,5,"Es muy fácil publicarEs muy fácil publicar, subir fotos y contactar de manera privada con los posibles compradores, sin dar tus datos. Me parece genial y además he vendido en 1 día."
5,5,"mejorar siempreSI , PERO NO ACABO DE  ENTENDER LAS VALORACIONES  SOBRE MI, SE DEBERIA MEJORAR LA CONFIANZA  CONN EL VENDEDOR, se deberia poder estar en espera  por si estas de vacaciones, me dicen que los envios  a traves del portal salen algo caros,he hecho multitud  de ventas y tengo pocas valoraciones,.. y siguen habiendo estafas  sobre todo inmobiliarias,.. seguid asi.."
6,3,No a pedir foto del DNI para cobro.No me ha parecido nada adecuado el sistema de pago a través de monedero. No lo utilizaré más. Eso de tener que enviar una foto del DNI me parece fuera de contexto y sentido. Es una falta a mi protección de datos. No es necesario para transferir el dinero; no se puede ir pidiendo el DNI de la gente como si fuese lo más normal del mundo. No tiene sentido.
7,3,"Decir que últimamente,he notado una…Decir que últimamente,he notado una bajada de contactos muy alta, con el mismo anuncio en otras páginas los contactos se producían y aquí ni uno. Antes no era así, desde que fue comprada."
8,1,Dinero en el monederoBuenas tardes.Vendí un libro por 15 € a través de Milanuncios y en lugar de ingresar el dinero como siempre lo han hecho( por qué tienen mi cuenta ) me lo han metido en el monedero y no hay manera desde el monedero ingresarlo en mi cuenta.La operación que ustedes indican la he hecho dos veces mandando de nuevo mi cuenta y foto de mi carnet.Hay siguen los 15€ en el monedero sin poder rescatarlo .Les ruego ingresen ese dinero del monedero a mi cuenta que ustedes tienen.He tratado de ponerme en contacto con ustedes y no hay manera.Espero que lo hagan.Un saludo.
9,4,"No me gusta la política de anuncios…No me gusta la política de anuncios caducados sin avisar, de vez en cuando recibo correos avisándome de la caducidad de algunos de mis anuncios, pero a pesar e estar constantemente revisando mi cuenta, acabo de ver que tengo 80 caducados (tengo publicados mas de 300 articulos), y ahora tengo un trabajo ingente para volver a publicarlos de nuevo.Un saludo."
10,5,"Envío Exprés MilanunciosDespués de muchos años usando Milanuncios, he probado el envío por Milanuncios y su sistema de monedero y la experiencia ha sido inmejorable: la mejor manera de ampliar los potenciales clientes a un precio muy competitivo. RECOMENDABLE."
11,5,"DiversidadEs fácil de localizar el anuncio y fácil contactar con el anunciante, si bien se permite poner el mismo anuncio en varias provincias y poner anuncios donde no corresponden"
12,5,Recordatorios a las personas interesadasMil anuncios hace recordatorios a las personas interesadas para que respondan si se les ha escrito y esto hace que funcione muy bien.
