,Estrellas,Reseñas
0,1,"Terrible atención al clienteTerrible atención al cliente, contestan de forma aleatoria con ""soluciones"" que no tienen naaada que ver con lo que les indicas, por ejemplo una reserva de vuelo que no aparece, que hagas el check in dentro de las 24 horas anteriores al vuelo... Si eres vivo, a lo mejor lo solucionas por tu cuenta, si no lo eres, o no está en tu mano, estás jod***... Nada recomendable, el supuesto ahorro, que no es tal, no compensa en absoluto."
1,1,"Una auténtica estafa.Una auténtica estafa.Dos días antes de salir uno de los tres vuelos que tenía contratado con ellos, me cancelaron uno y me ofrecieron la posibilidad de cancelación y reembolso, y esa opción fue la que escogí.Un mes más tarde, me indican que la aerolínea no acepta esa opción, y que si quiero contacte con la aerolínea directamente. Obviamente la aerolínea no se hace cargo porque no contraté nada con ellos.Son unos sinverguenzas absolutos!"
2,5,"vuelo baratoNecesitaba un vuelo barato y que tuviese buenas horas de llegada y de salida la verdad es que ha sido un acierto en toda costa, estamos muy contentos cuando viajemos con ellos lo recomendaremos mas"
3,5,"Muy buena experienciaMuy buena experiencia, espero que siempre sean muy eficaces."
4,5,Informacao precisa e na hora.
5,1,Unos sinvergüenzas absolutosUnos sinvergüenzas absolutos. Se niegan a cumplir la legislación española y te torean mandándote de un teleoperador hindú a otro hasta que te das por vencido y renuncias a tus billetes y tu dinero.Una estafa en toda regla.
6,2,Hola quisiera saber si después de q…Hola quisiera saber si después de q llega el 1er correo de confirmación cuanto más demora en llegar la reserva gracias
7,1,"Unas 12 hs antes de la salida del.vuelo…Unas 12 hs antes de la salida del vuelo me cambian el horario por correo, me informan  que si no estoy de acuerdo con el nuevo horario y entre las posibilidades que otorgan estaba quesi deseo cancelarlo se devuelve la totalidad de los pasajes. Cosa que no sucedio y ya pasaron 5 meses. No compren pasajes en compañías aéreas que lo lleven a esta agencia. No cumplen con lo que dicenY la compañía aérea Jetsmart otros incumplidores."
8,4,"Servicio con sobrecoste, atención al cliente lo ha resueltoCompré un vuelo con billete flexible por 84€. Al intentar cambiarlo con el billete flexible la diferencia de tarifa con billete flexible según ellos era de 126€ pero en su web el precio del vuelo que quería era de 80€.Me han contactado luego y me han solucionado el problema."
9,5,"Compré pasajes desde Santiago de Chile…Compré pasajes desde Santiago de Chile a Roma, ida y vuelta con varios transbordo y no tuve ningún problema, me informaban por correo cuando se hacía algú update de la reserva, por ejemplo el terminal de Madrid era el 1, la verdad es que todo super bien."
