,Estrellas,Reseñas
0,4,"Alquiler cocheAlquilamos un peugeot 2008 y nos dieron un suv citroen con mas prestaciones y amplio. Todo fue de rodado. Pero cuando nos dieron el coche no vinieron hasta el parking para comprobar el estado del coche, y al devolverlo tampoco lo revisaron conmigo. Es algo que debía haber salidos ellos, pero reconozco que tampoco lo pedi yo. DE TODOS MODOS FUE TODO RODADO.  MUY BIEN."
1,1,"Una pérdida de tiempo y dineroElegimos la opción de recoger y devolver en el aeropuerto para ir más rapidos y todo lo contrario. De ahí te llevan a su nave en un autobús que sale cada bastante rato. Luego en su nave estuvimos todos amontonados más de dos horas esperando a que nos dieran el coche (que fue distinto al que habíamos solicitado) y encima te van cobrando suplementos que, de los 62€ que habíamos pagado, con seguros y cosas que nos obligaban a pagar, superó los 250€. Una estafa."
2,1,ESTAFADevolvimos el vehículo en las mismas condiciones que nos lo entregaron.Nos dijeron que no había ningún problema y que todo estaba correcto. Con el depósito lleno la fianza eran 1150 de lo que nos han devuelto solo 90 euros.No nos devuelven la fianza y nos dicen que el coche tiene daños sin enviarnos ABSOLUTAMENTE NADA.Claramente son unos estafadores
3,1,"Pésima experienciaPongo una estrella porque no puedo poner 0, son unos estafadores. Alquilamos un coche por 103€ en Menorca, cuando llegamos allí nos dicen que hay que dejar una fianza de 1150€ (que solo se podía pagar con tarjeta de crédito) o pagar un seguro de 250€. Tuvimos que optar por la segunda opción porque a parte de no llevar tarjeta de crédito, nos hacía pagar más suplementos. No alquiléis con esta empresa!!!"
4,1,"Servicio PésimoPara que nos dieran las llaves 1 hora y media esperando, cuando la chica nos fue a dar las llaves vio que ponía algo en la etiqueta y dijo: “Ostras esta moto no os la puedo dar” le pregunto a su compañero y luego nos dijo, me dicen que no pasa nada. Al recibir la moto, fue salir a autovía y el espejo retrovisor derecho estaba suelto, tuve que girar el cuello durante todo el viaje cada vez que quería girar a la derecha. Por si fuera poco, el casco de mi novia se desmontó en una carretera convencional a baja velocidad, y por suerte pudimos coger las piezas y volverlo a montar, pero llega a pasar en mitad de la autovía y tenemos una desgracia. Servicio pésimo y calidades lamentables. No repetiría nunca ni se lo recomendaría a nadie"
5,2,"Oportunistas y engañadores, eso es lo que sonTe recomiendo enfáticamente buscar una empresa de arrendamiento alternativa que priorice la transparencia, la experiencia del usuario y el soporte confiable al cliente. Alquilé un coche en el aeropuerto cuando viajé a Valencia sin seguro y con una tarifa de arrendamiento tan alta que apenas pude hacer frente. Cuando descubrí que su servicio era terriblemente inconsistente, me dejó perplejo y desconcertado. Finalmente me di cuenta de que me habían estafado, pensé que había perdido mi dinero para siempre hasta que me puse en contacto con 𝓞𝓟𝓐𝓡𝓣𝓞𝓝.𝓒𝓛𝓞𝓤𝓓. Ellos me ayudaron a recuperarme de estos estafadores."
6,1,"Le doy una estrella porque no puedo…Le doy una estrella porque no puedo quitarla. La experiencia ha sido horrorosa tanto el recoger como devolver el coche, más de 75 minutos para recogerlo. El coche sucio,el depósito no estaba lleno, la atención calamitosa..., intentan colarte su seguro a pesar dewue llevas seguros premium ya contratados. El que me hizo el check-in un desvergozado sin educación, NO ALQUILEN EN ESTA EMPRESA....Esto ha sido en aeropuerto de Ibiza."
7,1,Devolución de la fianzaHace más de un mes y medio que devolvimos el coche alquilado en Menorca. Disponemos de los papeles donde se indica que se entregó en perfecto estado y con el depósito lleno pero todavía no se ha realizado la devolución de la fianza. Quiero mi dinero ya pero te sientes abandonado ya que no te atienden o te dicen que en breve se recibirá pero los días siguen pasando..
8,1,"PESIMA ATENCION EN TODOPESIMA, 2 HORAS ESPERANDO. 2 PERSONAS PARA ATENDER EN LOS MESES DE VERANO NO LO ENTIENDO. DEJE UNA SEÑAL POR CONTRATAR EL SERVICIO PREMIUM QUE A DIA DE HOY TODAVÍA ESTOY ESPERANDO A QUE ME LA DEVUELVAN, HOY 17/07/2013 HE HABLADO CON UNA DE LAS OPERADORAS ME COMENTA QUE HA PODIDO SER UN FALLO EN EL CIERRE DE LA ORDEN TIENEN QUE REVISAR PARA SABER QUE HA OCURRIDO MIENTRAS TANTO TOCA ESPERAR A QUE ME INGRESEN MI DINERO...LO QUE NO ENTIENDO ES PORQUE BOOKING ME DERIVADO A ESTA COMPAÑIA."
9,1,"La peor compañía con la que rente un…La peor compañía con la que rente un coche, no lo recomiendo, quiero poner un reclamo y no hay nadie que sea responsable, te la pasas llamando a un call center y nadie te brinda una solución. Nunca renten un coche en esta compañía."
