,Estrellas,Reseñas
0,5,"Solo agradecer la ayuda brindada por…Solo agradecer la ayuda brindada por Daniel Torres, para mi ha sido un alivio pues estaba muy complicada para resolver este problema de confirmacion de vuelo. Mil gracias"
1,5,"Me gustaría agradecer la atención…Me gustaría agradecer la atención recibida del Señor Samir Si hubiesen más personas como elTan resolutivas, el mundo 🌎 funcionaría mejorHe recibido un trato EXCELENTE y se lo agradezco de corazón ❤️Gracias por todo"
2,5,Muchas gracias por su ayudaMuchas gracias por su ayuda Ahora tengo la carta de embarque que necesitaba.La señora tenia mucha patiencia y explicaba bien las cosas.Saludos
3,1,"NO CONTRATÉIS CON OPODO!OJO! NO CONTRATÉIS CON OPODO! Acabo de comprar un billete de avión con OPODO y me ha llegado un mensaje de la aerolínea avisando de que han bloqueado mi reserva porque OPODO no es un socio comercial!! Telita...  Para desbloquearla, la aerolínea me pide que me verifique, lo cual es imposible porque OPODO no me ha dado ni la referencia de reserva!Esto ocurrió ayer. Para contactar con ellos por correo sudé la gota gorda, porque OPODO te lo pone difícil, y sigo esperando ese mail de respuesta. Y sí, OPODO, ya he revisado la carpeta de SPAM... ¬_¬Os voy a denunciar ante Consumo."
4,5,Me ha atendido un chico muy profesional…Me ha atendido un chico muy profesional y q ha resuelto mi problema rapidamente. Le doy la maxima puntuacion.Un saludo
5,5,"Quize Cambiar mi Fecha del VueloQuize Cambiar mi Fecha del Vuelo, y El Asesor DANIEL TORRES Me ayudo con mi proceso, fue muy Amable y me dio una solución a mi solicitud, Creo que el Hizo      (Su trabajo con la Mayor   Disposición, Amor y Entrega) Creo que su Empresa necesita más Personas como el. Que dejen en Alto su Labor y Disposición para hacer felices a sus Clientes. Por que el cambio de fecha puede parecer una tarea sencilla.  Pero solo quien Valora el tiempo es algo Importante y Primordial. GRACIAS a el Asesor DANIEL TORRES !!!"
6,5,"Resolución rápida y amableHola, cuando he hecho la reserva  11295770943 .y me han enviado la confirmación e observado un error en el nombre de un pasajero y con el servicio al cliente de opodo me lo han resuelto con mucha amabilidad. Valoro muchísimo a la persona que me ha atendido, paciente,educado y amable. Muchas gracias a esta persona por su ayuda."
7,5,El agente que me atendió fue muy atento…El agente que me atendió fue muy atento a las necesidades que tenía y problemas a solucionar. Muy atento en todo momento. Le doy 1000% gracias
8,1,AYUDAHola! acabo de comprar dos billetes y me dicen envía ryainair un correo diciendo que opodo no tiene acuerdo comercial con ellos y que mi reserva no se ha hecho. me dais alguna solución?? mi correo es me acabo de gastar 300 euros y al parecer me han estafado... por favor solucionarlo
9,1,"Esta es la pestafaeor página online para…Esta es la peor página online para comprar tiquetes, nos han engañado. Hemos comprado dos pasajes ida y vuelta y solo nos han facturado la ida. Pagamos 2 tiquetes solo de ida por el precio de ida y vuelta. Son unos estafadores!!"
10,1,"OPODO LADRONES!!!OPODO LADRONES!!!! Con grandes letras!! NUNCA HAMAS CON ELLOS!!! A parte que cobran por sus servicios más que100€, luego cobran por su Opodo Prime, NO CONTRATADO!!! sin aviso!!! Para ponerse en contacto es imposible!!! Número de teléfono no tienen, existe solo manera sobre la página web donde tampoco te dejan posibilidad o por chat donde chateas con alguna máquina-robote que te deja completamente idioticas respuestas, como por ejemplo. “Quieres cambiar el idioma?” etc. Estoy súper enfadada!!! A parte que son caros, son también ultra incorrectos!!"
11,5,"Vuelo cancelado... solución encontrada !Mi vuelo fue cancelado y su personal, especialmente Sandra fue muy amable y perseveró hasta encontrar una solución a mi problema. Muchas gracias"
12,5,Ha sido muy buena mi experienciaHa sido muy buena mi experiencia. Ágil y sin errores .Agradezco especialmente a Amal que gestionó de maravillas mi petición
13,5,Desde la App de opodo fue todo muy…Desde la App de opodo fue todo muy fácil. Desde hacer la reserva de mi vuelo a consultar todos los detalles de mi reserva.
14,5,Todo perfecto..Todo perfecto... fácil rápido y muy acompañados en todo el proceso. Además mejor de precio que la media!!!!
15,4,"Solo pongo 4 por el chico que me…Solo pongo 4 por el chico que me atendió, porque la plataforma es terrible"
16,5,Muy contentos con la atención y el…Muy contentos con la atención y el servicio recibidos por parte de la empresa.Muchisimas gracias.
17,1,"Hasta el sol de hoy sin noticias de…Hasta el sol de hoy sin noticias de uds!!! Q pasa??? De: Opodo Date: mar, 19 ene 2021, 12:41Subject: Opodo Estimado cliente, Nos ponemos en contacto contigo para informarte que tu reserva 6907705620 permite la cancelación sin coste alguno y el derecho a reembolso íntegro del precio del billete.Te confirmamos que ha sido cancelada la reserva que iba de Mascate Omán a Barajas, Madrir España que salía el día 20 de diciembre del 2020 teniendo un vuelo de retorno el día 09 Enero del 2021 con la aerolínea Etihad Airways.  Te recordamos que esta cancelación ha sido por parte de la aerolínea y que por esto no se generaría algún costo.Te confirmamos también que el importe total de esta reserva fue de 1300.23 EUR. en la que iban incuidos los tiquetes para los pasajeros; LAURA y Héctor  Permanecemos a tu disposición para cualquier otra duda o consulta que requieras.Cordialmente,Atención al Cliente de Opodo"
18,5,"Solicitud de reembolsoLa Srta. Sondos me ha atendido y ha sido un persona muy agradable y muy atenta.  Espero que en esta ocasión ya me resuelvan mi problema y reciba la transferencia solicitada.Muchas gracias, un saludoEncarnación Diaz"
19,5,Super todo muy bienEl trato de la comer ial que me ayudo fue excelente y muy profecional
20,5,El chico que atendió la llamada fue una…El chico que atendió la llamada fue una maravilla.
21,2,"Se me duplico el trabajo a la hora de hacer una reclamaciónReserve con Uds. con la esperanza de que si había algún problema, las cosas fueran mas fáciles, y ha sido totalmente al contrario.Me ha tocado intentar comunicarme con Uds. que es bastante tedioso, y no me lo han solucionado.Después contacte directamente con Vueling, me solicitaron una documentación y me lo arreglaron en 24 horas, y me ha tocado volver a ponerme en contacto con Uds. para que me devuelvan el dinero que Vueling decía que ya estaba en su poder.En vez de ser más fácil, ha sido doblemente más difícil, si hubiera reservado directamente con Vueling, solamente hubiera tenido unas tediosas conversaciones no dos."
22,5,Muchas grasias estubo perfecto
23,1,"Ofrecen vuelos que no están disponiblesNo he llegado ni a reservar el vuelo. Ofrecen vuelos que no están disponibles. Tras el pago dicen que lamentablemente no se ha podido reservar. Y no es problema de la tarjeta, he probado con cuatro diferentes y me he asegurado del límite de mis tarjetas . Lo he probado en varios momentos a lo largo de día y nada . Una pérdida de tiempo Y siguen ofertando el vuelo que no es posible coger"
24,5,Hassan me ha atendido muy educadamente…Hassan me ha atendido muy educadamente y de una forma clara y correcta
25,5,"MallircaEstoy muy satisfechoEstoy muy satisfecho, todo muy rápido y sin complicaciones.Recomiendo el servicio."
26,5,Excelente el trato recibido por Om…Excelente el trato recibido por Om Kolthom en la resolución del problema planteado
27,2,"Hice una reserva con OpodoHice una reserva con Opodo, pagué una maleta para mi viaje de ida 85 euros y la aerolínea me indica que debo pagar esa maleta de nuevo. Me comuniqué con servicio al cliente, una larga llamada, me dicen que está incluida y la aerolínea dice que no. El vuelo me ha salido más costoso con Opodo que si lo hubiese comprado directamente a la aerolínea directamente."
28,1,NO CONFIRMAN RESERVA POR FALLO EN SUS SITEMASHe reservado vuelo con nº ref 11761622566. Al día siguiente consulto porque no se ha confirmado reserva y me indican que envíe de nuevos los datos del pasajero a un email (extraño pues ya estaban cumplimentados en el momento de la resrva). Reciben el email y recibo un correo de anulación de reserva. el agente que me atiende posteriormente a esa incidencia me dice que no puede hacer nada al haberla anulado sus compañeros. El caso es que ahora al hacer una nueva reserva unas horas despues el precio es superior. Lo correcto hubiera sido rehacer la reserva respetando el mismo precio que obtuve en las horas previas y no lo hacen así. Da la impresión de ser una estrategia perfectamente estudiada para no respetar el precio de las ofertas publicadas a través de web promocionales.
29,5,"Todo OKTodo OK , perfectamente atendido por el operador antrabend del teléfono"
30,5,"La atención del señor Mustafa Ahmed fue excelente. Rápido, sencillo y explicativoMuy bueno. Expeditivo y economico"
31,1,"una estrella porque no hay menosPongo una estrella porque no hay menos. Compre un vuelo con seguro de cancelacion en octubre para navidad, el cual fue cancelado el 30 de noviembre. Se me da otra opcion (malisima) que tambien cancelan. Y aqui a 17/03 y todavia sin saber nada ni del reembolso, ni de ellos."
32,1,hace días que espero la confirmación del cambio de vuelo y sigo sin tener rta.hace días que espero la confirmación del cambio de vuelo y sigo sin tener rta.Sería muy amable recibir un mail informándome si puedo volar en las fechas que quiero.Cuando hice el cambio de vuelo imaginé que sería en el momento y no tener que esperar que me lo confirmen y que no haya más noticias.
33,1,"Menudos  estafadores,Menudos  estafadores,Ayer mismo compré dos billetes y me han cancelado la reserva y retenido el dinero. Me he estado informando y no lo van a devolver ni el vuelo ni el dinero, por si fuera poco, es completamente imposible contactar con ellos por teléfono. Un desastre como conclusión."
34,5,Mido war behiflich
35,1,"Falso billete Flex.Operador muy amable, me explicó todo muy bien y lo hizo facil. Pero no era cierto. Yo cogí billete Flex, y tuve que cambiar la fecha de vuelo, siendo al mismo precio ambas fechas, me dijeron que pagara el billete nuevo y luego me devolvían el importe del que cambiaba y sólo me devolvieron 5€. Además te inscriben en un servicio premium de pago sin solicitarlo y si no te das cuenta te cobran 60€ al pasar el mes de prueba"
36,1,HAY UNA CLIENTE NUESTRA QUE QUIERE…HAY UNA CLIENTE NUESTRA QUE QUIERE CANCELAR SU RESERVA Y OPODO LES DICE QUE EL HOTEL NO ACEPTA. ES MENTIRA . NO TENEMOS NI TRABAJAMOS CON OPODO DIRECTOSON ESTAFAS PURASSALUDOS
37,5,El servicio fue muy agradableEl servicio fue muy agradable! Muy rápido y eficiente.
38,5,"Telefonistya muy agradableTelefonistya muy agradable, SaludosESRAA"
39,5,Atención amable
40,5,"El agente Mohamed ha sido…El agente Mohamed ha sido extremadamente amable y eficiente, gracias"
41,5,Esraa Gracias
42,5,Buena atención
43,1,"Malisimo!!Malisimo!!! Jamás me regresaron mi dinero, según la aerolínea tenía que responder y obviamente no lo hicieron porque OPODO es quien tiene el dinero!!!NUNCA COMPREN CON OPODO, Edreams, ETC."
44,5,Fátima Handy me ha ayudado muchísimo…Fátima Handy me ha ayudado muchísimo con la resolución de mi problema. Gracias a todos!Ref 10425471812
45,5,"Excellente y rápido servicioExcellente y rápido servicio, muchas gracias!"
46,5,Me guió cómo debía proceder con el…Me guió cómo debía proceder con el problema que había sucedido y lo pude resolver pronto
47,1,"NUNCA MAS OPODO!!!Nos cambiaron los vuelos de vuelta desde Alemania sin consultarnos ni avisarnos, así q llegamos tarde y nos quedamos colgados en el aeropuerto. La atención telefónica era horrible y nos dieron un número telefónico, que no funcionaba desde Alemania, así que tuve que buscar un número de Opodo en Alemania y menos mal que hablo alemán. Aún así dijeron, que no podían hacer nada, que era la compañía aérea, la que era responsable. Fin de la historia: pernoctar en Alemania y volver al día siguiente con los gastos pertinentes a nuestro cargo. NUNCA MAS OPODO!!!!!!"
