,Estrellas,Reseñas
0,5,"Con toda la sinceridad y niguna razon…Con toda la sinceridad y niguna razon por mentir, jamas he visto una empresa de españa ofrecer el trato que PcComponentes me ofrecio, hablando en general. Si entramos en detalles la cosa es que hize un pedido de un equipo ( placa base cpu disco duro tore etc.) en cual vinieron dos articulos parcialmente averiados que me fueron rembolsados con una velocidad que no me esperaba, todo y asi en fechas que muchas empresas tienen personal reducido por vacaciones, es mas el pedido lo hize a un dia distancia de las ofertas, se me aplico el descuento de dicha oferta aun que compre antes de que dicha oferta entre en vigor, y fue simplemente preguntarles si es posible sin mas. De vender, venden muchos pero el trato al cliente no hay mejor que Pc Componente, me dejo la “S” para que rime🤣 Perdonad mi castellano no es mi idioma nativo."
1,5,"Profesionalidad y eficacia en tiempo realLa experiencia fue buena porque primero me asesoraron en la composición de los componentes óptimos a mis necesidades y después cuando el equipo comenzó a generar problemas me atendieron de forma profesional en un tiempo mínimo solventando las anomalías presentadas por el PC.La empresa destaca por el equipo de profesionales con los que cuenta. Han sido eficaces, amables, cumpliendo con plazos y expectativas en todos los departamentos que me han atendido"
2,5,"Como no podía ser de otra manera un…Como no podía ser de otra manera un 9,99 sobre 10, tuve un problema y lo solucionaron en un plus plas."
3,5,"no se entrego a tiempouna de las mejores opciones a la hora de comprar electrónica e informática,llevo desde 2014 comprando en pccomponentes, fiabilidad, precio, asesoramiento, ... (¿Qué más se puede pedir?)la empresas de reparto correoexpress son falsos sin ganas de hacer nada, incumpliendo con la fecha y sin tener contacto. Es decir que debes de estar pendiente de ellos, compre un movil el dia 28 de junio tenia que llegar el dia seguiente pero hasta el dia de hoy no se nada de el pedido Una vergüenza correoexpress mejor GLS son puntuales."
4,4,"Compre un DD seagate 2TBCompre un DD seagate 2TB, vino en un caja carton de buena calidad protegido con embalaje burbuja. 10/10. No espere mucho entre pedido y envío. 10/10. El repartidor me entrego el articulo en persona 10/10. Estado articulo 10/10.El mismo día recibí un mnsj scam para una recogida/entrega de un pkt. No soy hacker pero huele a base de datos hackeada. Solo me paso con vosotros. Ojo con esto pls. Cordialmente."
5,5,"Muy buena experiencia.Pedí un portátil con su bolsa de transporte a las 14:15 y lo recibí el día siguiente a las 11:20 por la empresa GLS. Días después, por motivos que no vienen al caso, tuve que ejercitar mi derecho de desistimiento y todo fue rapidísimo. Lo envié gratuitamente a través de Correos Express (también me dieron la opción de pasar a recogerlo por mi domicilio de forma gratuita) y a los dos días tenía el importe íntegro abonado en mi tarjeta de crédito. Gracias por su eficiencia (PC Componentes y GLS), tanto en la compra como en la (muy a mi pesar) devolución."
6,5,La atención y rapidez de entregaLa atención y rapidez de entrega. Producto pendiente de probar
7,4,"Revisad bien el producto, que no es oro todo lo que reluce.La experiencia del servicio técnico fue buena, pero la experiencia de la compra no tanto. Me dieron dos tarjetas gráficas reacondicionadas como nuevas y me devolvieron parte del dinero al final porque decidí quedarme con una de ellas."
8,1,"Lamentable servicio postventaMe parecen muy lamentable el servicio postventa que tienen. En enero se me estropeó un disco duro en garantía, y estamos a mediados de Julio y sigo sin tener mi disco reparado/sustituido, esperando que me den una solución, cuando yo necesito ese disco para mi trabajo. Está claro que no volveré a comprar nada aquí."
9,5,"La atención al cliente: me han respondido rápidamente y dándome solucionesHe comprado varias veces y cuando he tenido algún problema, desde atención al cliente me lo han solucionado rápidamente. Una vez tuve que devolver un producto porque no cumplía con lo que yo necesitaba y no tuve ningún problema con la devolución"
