,Estrellas,Reseñas
0,4,"Fin de semana en la Costa BravaEn general, todo bien: recogida y devolución del coche, condiciones claras, precio, atención al cliente, etc. El único motivo por el que no pongo cinco estrellas (y he estado pensando en poner tres) es porque el modelo de coche que indicaba la reserva era un ""Fiat 500 o similar"" y nos dieron un dR que, si bien, es similar en cuanto a tamaño tiene unas prestaciones (consumo, aceleración, capacidad de frenado, etc...) bastante peores o, al menos, mi sensación es de que son bastante deficientes (consumos de más de 8 litros por carretera, cinco marchas y no seis, aceleraciones deficientes, etc...). Eso sí, los acabados son decentes. El personal fue muy educado y amable en todo momento."
1,2,"Nunca tengas un problema, no hay a quién contactarPersonal correcto pero la estructura del servicio es PÉSIMA. Si tienes un problema durante el alquiler, NADIE responde a un teléfono ni a ningún medio de contacto. Para colmo, no me hicieron el reintegro hasta que no reclamé por correo dos semanas después (y quién sabe si es porque alguien realmente leyó ese correo). Nunca más.Employees are kind but the service structure is horrible. If you have an issue during the renta, nobody answers the phone or any other contact. They've just reimbursed me 2 weeks after, and after I've sent an email (and not sure if it was because of that). Never again."
2,5,"Contraté la reserva onlineContraté la reserva online, al llegar al punto de recogida di el código de reserva firme contraro de alquiler  y pago con tatjeta  y en 10 minutos todo hecho....35€ día seguro todo riesgo incluido lunas neumáticos y pinchazo te despreocupas de cualquier incidenciaEl Fiat 500 muy bien y bajo consumo..es la 5* vehiculo que contrato con Record..Go."
3,3,"El precio bueno frente a  otras…El precio bueno frente a  otras compañíasEl charter que te recoge en aeropuerto muy bien, rápido, efectivo, chóferes profesionales La recogida en oficina patética,  pésima. 9 de personal , 3 máquinas de recogida y solo 5 clientes y tardamos 50 minutos en recibir el coche.Desorganizacion total, coches sin estar disponibles en el sistema , empleados que iban como pollos descabellados sin dar soluciones.Coche limpio por fuera pero sucio por dentro. El cristal delantero tan sucio por dentro que durante la conducción no se veía El modelo de coche bien , casi nuevo hibrido.Reservo con esta empresa 1-2veces al mes todo el año. Solo lo hago ppr precio.Me pensaré la próxima vez si seguir con ellos.En verano pierden profesionalidad , calidad y saber hacer"
4,5,ExcelenteExcelente.  Esla segunda vez que alquilo un vehículo y es un placer. Los empleados atentos y amables. La recogida y la entrega muy rápidas. El reembolso de la gasolina  se realizó diez minutos después de entregar el coche. Sin duda volveré a alquilar aquí.
5,5,"Buena experienciaBuena experiencia, solo como sugerencia: escoger seguro a todo riesgo y sin franquicia, así no tendrás problemas! Punto a mejorar: limpieza del vehículo, tenia olor a tabaco. Rapidez en la devolución del vehículo y sin problema para devolver la fianza"
6,1,"Atendimiento poco profesional del personalPoca información a la recogida del vehículo.En la entrega la señorita que nos atendió lamentable cómo se dirigió a nosotros y no ayudó nada con un problema de la barrera de acceso al parking, poco más o menos que nos buscáramos la vida. Pagas y encima tienes tú que resolver el problema. Repito, la actitud de la señorita poco profesional y mucho que desear."
7,1,"A los 50 kms de recoger el cocheA los 50 kms de recoger el coche, se enciende testigo de fallo de batería auxiliar por lo que el coche no funciona en forma hibrida por lo que aumenta el gasto en consumo de gasolina. La solucion que dan es que puedo seguir circulando así o me vuelva hasta el aeropuerto a i tentar cambiar coche. Decepcionante!, teniendo en cuenta el precio"
8,5,Coches en buen estadoEl coche me gusto mucho. Muy buen estado nuevo. Traslados rapidos. Personal amable. Siempre que he alquilado con recordgo en baleares he tenido buena experiencia.Sugerencia : una sombrilla aunque sea de publicidad en el coche vendria muy bien!!!
9,1,FatalMe dieron un coche que me dejo tirada si me remplazaron por otro pero fue un día perdido que no me recompensa perderlo si estoy de vacaciones y pago todo ful ful
10,5,"Devolución fianza rápido y coche en perfecto estadoAlquile un coche por un día, el checkin lo hice desde la app, luego en el lugar con las pantallas digitales, todo muy rápido, me ofrecieron uno de mejor categoría por un poco más y fue rápido hacer el cambio. No tuve que esperar a q me dieran el coche, fue rápido también. El chico que atiende muy profesional, el contrato llega x mail. El coche no me dio ningún problema era un coche prácticamente nuevo. La devolución sin incidentes y me devolvieron la fianza muy rápido . Lo recomiendo sin duda"
11,1,"Mentirosos y servicio negastoTe cobran 50 euros de franquicia por si ocurre algún daño pero no te indican que te cobran 50 mas por gestiones, una vergüenza cuando después de hablado en la oficina te indican que solo cobrarían la franquicia y a los 3 días te cobran también los otros 50 y después no te cogen el teléfonoAsí ya pueden tener flota a costa del cliente Nunca más"
12,4,"Rápido y buen cocheLa devolución de combustible llegó al momento. El coche iba perfecto, sin ningún problema. Todo fue rápido ya que no había cola en la oficina, y el párking está justo en un edificio anexo al mismo. He echado en falta una mayor atención del empleado, a la hora de darme el coche, podía haberme enseñado el coche, hablarme del mismo, si tenía alguna duda etc...en su lugar me dejó las llaves y ya. Suerte que tengo experiencia con coches de alquiler. De todas maneras eso mejora la experiencia con el cliente.Feedback útil para Record Go. Así mismo podríais proporcionar protectores para el sol, esas pantallas servirían mucho en verano, además que le podríais poner el logo de vuestra empresa...Por lo demás todo bien, ninguna queja, le pongo 4 de 5 por la dejadez del empleado que dió el coche."
13,3,"Sobre la hora de recogida del vehículoSobre la hora de recogida del vehículo, personal con mucha carga de trabajo y a mucha inexperiencia de lo que tenían que hacer. A la entrega del vehículo no revisaron este y tampoco sabia donde debía depositar cascos candado y llaves del vehículo"
