,Estrellas,Reseñas
0,1,"SinvergüenzasSinvergüenzas,  impresentables,  cualquier adjetivo calificativo y despectivo, les cabe. Te quieren cobrar por todo, te hacen pagar una verificación de tu reserva porque les da la gana, a pesar de haberlo reservado con una agencia.. . Ojalá se hundan!"
1,1,"¡Son unos sinvergüenzas!¡Son unos sinvergüenzas! El tema del equipaje es un cachondeo. En cada vuelo eligen aleatoriamente a gente para que pague la penalización por el tamaño del equipaje. Da igual el tamaño o forma, hacen pagar a quien les da la gana aunque haya pasajeros con equipaje de mayor tamaño... Encima cuando le preguntas al personal por el criterio, se ponen chulos y maleducados. Lamentable!"
2,1,"Muy mala experienciaMuy mala experiencia. Al intentar reservar con Ryanair fui conducido a eSky. A partir de ahí tuve muchísimas dificultades para conseguir las tarjetas de embarque. Luego al llegar a Madrid nos desembarcaron a los pasajeros en una terminal, y a las maletas en otra. Si puedo evitarlo no volveré a volar con Ryanair."
3,1,"Hemos reservado 2 billetes con Ryanair…Hemos reservado 2 billetes con Ryanair desde Madrid-Roma y en Roma teniamos otro vuelo con WizzAir. En Barajas el vuelo desde Madrid a Roma ya llegaba con 40 min de retraso y al embarcar todo bien, se ceirran las puertas, arancan los motores, todo listo para volar y de repente frena en seco. El comandante avisa de que hay un problema y vamos a tardar una hora en solucionarlo. Al finla llegamos a Roma y por supuesto perdimos el segundo vuelo con WizzAir. A partir de aqui empezó la aventura, hemos gastado una pasta en comprar otros billetes pero desde Milan porqué no podriamos esperar todo un fin de semana para volar. Asi que hemos comprado 3 billetes de tren: uno desde Fuimicino-Roma, el segundo Tiburtina-Milan P Garibaldi y el último Milano-Bergamo. Los de Trip nos devolvieron el dinero de WizzAir para 2 personas pero la diferencia la pusimos nosotros. Los de Ryanair son unos... No los puedo calificar. Volamos con una chatarra que pense que vamos  a perder todos lo tornillos. Nos mintieron en Madrid alegando que tenian un problema con el radar de Barcelona😂 y cuando llegamos a Roma resulta que tuvieron un problema con el aire acondicionado. Personalmente no creo que volvere a pisar un avion de la compania que sea y menos Ryanair. Sinvergüenzas no!!!! Lo siguiente. Una estrella es mucho. Ojala quiebre y desaparezca y que cada pais se ponga firme y exigente con las compañías de lowcost. Pesima experiencia.Deberia darles vergüenza en la cara."
4,1,"MALTRATO AL CLIENTE.Después de volar varias veces con un…Después de volar varias veces con un equipaje de la peque que mide 40x25x20 hoy no podía llevarlo conmigo porque los agarres sobresalían un poco ( son maletas para arrastrar a los peques y no se cansen). Como le he dicho que las medidas oficiales eran 40x 30x 20 y nos las superaba me han dicho que me advertían porque arriba me podían hacer pagar más. Evidentemente la chica de arriba me estaba buscando y después de ver la maleta y no percatarse (os puedo asegurar que habían bolsas de mano mucho más grande que esa maleta) ha venido otra vez directa diciendo que no se había dado cuenta, que no había visto los 2 cuernitos para agarrarse  que no iba a caber en el ridículo medidor que tienen y que tenía que pagar. Da igual lo que les digas… y mas después de leer que los empleados COBRAN UNA PRIMA POR MALETA que detectan.ASÍ QUE AVISAD A LOS QUE TENGÁIS ESTE TIPO DE MALETAS NO LAS LLEVÉIS EN ESTOS VUELOS. SOMOS CARNE DE CAÑÓN. Saben que por esos agarres no caben a pesar de que no superen las medidas.Voy a reclamarlo via OCU.No pueden tratar a sus clientes así. Me parece una total falta de respeto."
5,1,"PésimoPor llegar 1 minuto después de la última llamada no me han dejado subir al avión, porque ""se había cerrado la puerta"". Pero he podido comprobar que el avión ha tardado 20 minutos en salir. No les importa que viajas con niños y que tienes que esperar 24h para el próximo vuelo. Es increíble 😡Mi experiencia con Ryanair finaliza hoy."
6,1,Hay que denunciar a las oficinas…Hay que denunciar a las oficinas gubernamentales por ser cómplices deestafa con Rayanair. Están todos prendidos si no no se entiende que estos piratas delincuentes de los ryan dueños de la basura que vuela .tengan tanta impunidad.  Argentina es un niño bb a lado de europa con la corrupción . Son todos corruptos piratas europeos por algo sin reconocidos como piratas .ladrones del mundo Rayanair es la muestra de piratas ladrones
7,1,"VergonzosoVergonzoso.  Piratas en el aire.  Personal maleducado.   El vuelo  parece un chino, ofreciendo  todos los productos  inimaginables.  No te dejan descansar.  La aplicación  no deja hacer el check in si antes no has facturado aunque no lleves maletas . Una vergüenza.  Mal me tendré que ver para volar con estos piratas  otra vez."
8,1,"Vuelo de Londres a TenerifeVuelo de Londres a Tenerife. Más.de una hora de retrasos, esperando de pie en la pista, con un frio nórdico infernal, mas de una hora, esperando a entrar al avión. Les importaba nada que hubiera niños, ancianos, mujeres embarazadas,bebés. Tercermundistas"
9,1,"Vuelo MenorcaVuelo Menorca - Valencia. Son unos ladrones, con maletas facturadas te siguen cobrando por la maleta racaneando los kilos para sacarte la maravillosa cifra de 11 euros por kilo. Compramos un carrito aposta para nuestro bebé que cumple la normativa de cabina, la sorpresa es que la chica nos lo etiqueta y dice que tiene que ir a bodega, le decimos que el carrito cumple la normativa además de que habíamos pagado por el como maleta de cabina y que no va a ir a bodega, la chica muy mal educada y desafiante nos suelta un “bueno eso ya lo veremos” UNA VERGÜENZA DE PROFESIONALES. Por no hablar del checking que como saques los billetes con otras páginas que no son ellos mismos te lo bloquean y no te dejan hacerlo para sacarte el dinero allí en el aeropuerto. No volveré a viajar con esta compañía cada vez van a peor."
