,Estrellas,Reseñas
0,1,"TerribleTerrible! Puse unas entradas a la venta, por lo visto se vendieron,  NO me llego la notificación y ahora me quieren cobrar una penalización de 170€!!! Nunca me llego el email de la venta pero si el de el atraco. Sinvergüenzas! Que impotencia"
1,1,ESTAFADORESes una verguenza se ganan mas del 100%. compre 2entradas concierto maroon5 en Madrid a 150 euros la entrada. total de 367 euros incluidos gastos de gestion y resulta que las entradas el imprimirlas eran de 76 euros !!!!! a tomar por saco en la segunda planta. estafadores que juegan con la ilusion y esfuerzo de la gente
2,1,"*****Estafa*****He comprado 2 entradas al triple de precio, me mandan correo para descargar las entradas pero al pinchar el enlace o entrar en mi área privada ni están las entradas ni el cobro, es imposible contactar, he tenido que poner una denuncia a la policía digital para que Mastercard me devuelva el dinero… espero recuperarlo"
3,1,Pesimo servicioPesimo servicio! Compre unos boletos para un partido Real Madrid vs Barcelona 2 meses antes del partido y nunca me pudieron dar los boletos! Includo un dia antes me dijeron que me darian unos boletos igual o mejores. Puras MENTIRAS! No confien en ellos. Si te reembolzan tu dinero completo eso es verdad pero no conviene porque no les importa dejarte por fuera. Solo te piden disculpas y ya es problema tuyo como lo resuelves!
4,1,"Sin pago por venta de boletoUn mes ha pasado y no me han devuelvo 450 usd por un boleto que se vendió por su plataforma y fue entregado en tiempo y forma , además de que me hicieron un cargo por ese mismo monto a mi tarjeta de crédito por una supuesta penalizacion de no entrega, que es falsa ya que tengo las evidencias de haber entregado"
5,1,"Compre unas entradas en 2019Compre unas entradas en 2019, me gaste un total de 212€ , no se han querido hacer cargo de devolverve el dinero , pensaba que stubhub era una empresa seria .Estuve hablando con una persona que me decia que este ingreso me lo habian hecho en mi banco , pregunto al banco y me dicen que no es cierto ! Por culpa del covid el concierto mad cool festival se fue cancelando, pero lo increible fue que en el verano pasado 2022 un mes antes del concierto , me dicen que estas entradas no son válidas . Ire a denunciarlos , pero queria escribir esto para que le llegue al maximo de gente posible, son estafadores."
6,1,"contactos para denuncia común a STUBHUBhola, estamos cogiendo contactos para poner una denuncia en común a STUBHUB por estafa , pueden mandar su correo y su caso este email , WHTASAPP 613-71-12-32 , cuantos mas seamos mejor , gracias"
7,1,"Servicio no aconsejableServicio no aconsejable, poca trasparencia, te cobran lo que quieren y no hay ninguna forma de contactarlos."
8,1,"NOOO COMPREN BOLETOS CON ELLOS son unos…NOOO COMPREN BOLETOS CON ELLOS son unos estafadores, yo pague carisimo por una entrada para el concierto de Adele el 16 y faltan dos dias y aun no me llega nada"
9,1,Necesito que me manden las entradas ya…Necesito que me manden las entradas ya para tener mi TARJETA HAYYA Y NO ME VA A DAR TIEMPO viajo este 30 de noviembre y para pedir la tarjeta HAYYA hay que hacerlo dias antes para que te la acepten porfavor necesito mis codigos de entrada ya mismo
10,1,"YO PAGUÉ 400 USD Y AL MOMENTO DE ENTRAR…YO PAGUÉ 400 USD Y AL MOMENTO DE ENTRAR AL CONCIERTO ME DIJERON QUE YA HABÍAN PASADO CON ESOS BOLETOS, NO ME DAN RESPUESTA PARA REEMBOLSO Y HASTA ME BLOQUEARON EL EMAIL."
11,5,"Entradas ColdplayCompramos entradas para Coldplay en Barcelona y, a pesar de los inconvenientes que pusieron los vendedores (no subían las entradas, comunicación de venta por otra plataforma, etc.), StubHub estuvo 100% disponible a nuestras consultas y nos dieron diferentes opciones (mejores o iguales condiciones) para tener nuestra entrada. Trato cercano, transparente, rápido y seguro, lo dice una persona de calle. Repetiríamos."
12,1,"FRAUDEFruade, para el concierto de daddy yankee, compré 2 boletos de 700 dolares y llegaron unos que ya estaban usados"
13,1,"My Chemical Romance Corona Capital 18/11/2022Compré 2 boletos por $5,385.66 + 53.86 pesos mexicanos el 15 de noviembre de 2022, para el concierto de My Chemical Romance en el Corona Capital el 18/11/2022, en el autódromo Hermanos Rodríguez de la CDMX. Recibo el mismo día en el correo electrónico registrado un código de acceso Z84554 y # de pedido 508693020. Hoy 18/11/2022 trato de bajar e imprimir mis boletos, el código de acceso resulta inválido, en mi cuenta de StubHub no hay registradas compras ni pagos realizados; sin embargo si está hecho el cargo en mi tarjeta de crédito por el monto arriba señalado. Trato de contactar a alguna persona que me ayude a resolver el problema, constato que la protección FanProtect es solo publicidad hueca, no hay instrucciones de cómo activarlo ni  cómo usarlo, especialmente en situaciones como ésta, en la que el evento ya inició y mi artista favorito está a unas horas de empezar. El número del centro de atención telefónica es un teléfono de España, tampoco atienden."
14,1,"Yo fui estafadaYo fui estafada, compré 5 entradas para el circo del sol y hasta ahora no me hacen la devolución, triste porque ahora así venga ya no puedo arriesgarme me estafaron con más de 2000 soles"
15,5,"TODO OKLA SEGUNDA VEZ QUE COMPRO EN STUBHUB Y LA SEGUNDA VEZ QUE TODO FUE PERFECTO, COMPRÉ ENTRADAS PARA BRUCE SPRINSTEENG EN AMSTERDAM."
16,1,Pésimo!!Pésimo!!! Estafadores!!! Me iban a llegar mis entradas para el juego de 49s en el estadio azteca! Y me llegó un sobre con una hoja que dice que disfrute mi evento! Malditos estafadores! Me puse en contacto y dicen que el vendedor tiene pruebas que puso el paquete!  Sus métodos de seguridad son pésimos! NO CAIGAN quiero mi dinero!!! Ya tengo vuelos tengo todo menos entrada al juego! 😫
17,3,"Tuve una buena experienciaTuve una buena experiencia, pero con el servicio post venta, lamentablemente la entrada que compré (para regalar a mi marido), del concierto de Rammstein en Madrid, era una entrada nominal, y al él intentar pasar el punto de control le dijeron que ese nombre estaba muy repetido, parece que quien puso a la venta la o las entradas era un estafador, en fin, la entrada no era valida y tuvimos que ""resolver"" de otra manera. Les pongo 3 estrellas por destacar la excelente atención que recibí de Luis, quien me ayudó, inclusive buscando una entrada de reemplazo, cosa que no fue posible, pero si que inmediatamente recibí el reembolso del dinero. No le pongo mejor calificación porque desde luego el servicio como tal no funcionó, pero estas 3 estrellas van para Luis, su excelente capacidad resolutiva y su ayuda para con nuestro caso, lo tomamos con paciencia y bueno, lamento las cosas no hayan salido bien."
