,Estrellas,Reseñas
0,3,"Necesito información sobre mi próximo viajeBuen dia, quisiera tener contacto sobre mi próximo viaje Cancun Madrid por medio de la aerolínea Tap Portugal, el correo y el teléfono que salen registrados para la información son directamente de ustedes y no tenemos acceso a la información, solicitamos ayuda para modificar el vuelo, Localizador de reserva 21575050 correo:"
1,2,"No he podido contactarlos de ninguna…No he podido contactarlos de ninguna manera, he intentado cancelar mis vuelos pero su página y la pestaña de “mi flights” no funciona bien.Quisiera saber a qué teléfono marcar para poder realizar esa cancelación."
2,1,"Buenas tardes Señores TRAVELB2:Buenas tardes Señores TRAVELB2:Tengo un vuelo de regreso para el día 28 de Marzo como aparece en el adjunto, y he enviado ya varias solicitudes mediante MyTrip  y no he recibido respuesta con el fin de lograr realizar los cambios que requiero.  Al entrar a la plataforma de United me dice que debo contactarme directamente con la agencia a la que le hice la compra y por eso recurro a este medio.  Asi mismo he llamado a sus teléfonos en España y el número que tengo dice no estar asignado."
3,1,"EstafadoresEstafadores, esperando aun devolución viaje por covid de 2020. La aerolinea dice que ya ha devuelto el dinero pero ello a mi no. No contestan mail y ni hay telefono disponible. No hay acceso a la web con cuenta usuario"
4,1,"Travel2be una estafa!Travel2be una estafa!! el día 17-07-2022 compré un pasaje a Córdoba a través de esta agencia de la aerolínea LATAM. Debido a cambios en los pasajes, solicité la devolución. La devolución fue aceptada y realizada por LATAM hacia Travel2be, pero aún no he recibido mi devolución. Ya no contestan los correos, realmente son una estafa, no los recomiendo ni volvería a comprar con ellos."
5,1,"No hay manera de contactarlosNo hay manera de contactarlosAlguien que haya podido comunicarse con la agencia? Al menos yo he mandado correos e intentado buscar números de teléfono para llamarlos y nada, parece estafa y necesito hacer un cambio de pasaje URGENTE.20774370"
6,2,"error en cambio de fechashola, acabo de realizar una reserva de unos vuelo de colombia a miami, al finalizar me percato que el sistema cambio mi fecha devuelta, que era para el 12 de diembre lo modifico al 11 de diciembre, no encuentro numeros de contacto ni nada para poder modificar la reserva que fue hecha hace 2 horas, si me pudieran contactar mi numero es el +573508332362 y numero de localizador de solicitud de reserva es el 22201752gracias."
7,1,Travel2be y TravelGenio son un FraudeLlevan mas de 1 año diciendo que me regresaran el dinero de un boleto cancelado y ahora ya no funcionan los telefonos de contacto de Mexico ni contestan mis correos electronicos. El ultimo correo fue de diciembre en el que me pedian mi cuenta interbancaria para poder hacer el reembolso envie toda la informacion y no me volvieron a contestar.
8,1,"CONTACTO CON TRAVEL2BE ¡ESTAFA!Necesito realizar un cambio de mi vuelo y me he contactado con los correos y números de teléfono pero NO RESPONDEN!!! Estoy preocupada porque mi vuelo es para la próxima semana y no tengo respuesta. No encuentro como comunicarme con la agencia porque ni la página de ""my trip"" funciona. ¡NECESITO UNA RESPUESTA INMEDIATA!"
9,1,"Condiciones de mi billeteBuenas tardes. He contactado con ustedes para saber las condiciones de mi billete para saber si puedo realizar un cambio de fechas y después de 20 minutos esperando al teléfono me dicen que han revisado las condiciones de mi billete y no es posible. He pedido que me digan dónde puedo consultar las condiciones de mi billete y me dicen que no tengo manera alguna de saberlo, sino fiarme de lo que me dicen por teléfono. Solo quiero que me digan dónde consultarlas.Mi localizador es 21381254Espero respuesta por favor"
