,Estrellas,Reseñas
0,1,"Soporte devolucionNecesito el soporte de devolución de la reserva N° 22086015, la aerolínea indica que se realizo en el mes de febrero."
1,1,"SOLICITUD REUBICAR VUELOS EN FECHAS INDICADASBuenas tardes mi nombre es Fany…Buenas tardes mi nombre es Fany González compre con Travelgenio 5 pasajes a Valledupar ida y vuelta, salida el 27 de abril de 2023 y regreso el 1 de mayo de 2023 se adquirieron a través de esta empresa y son de LATAM. Latam canceló el vuelo a Valledupar y LATAM dice que todo se debe coordinar a través de Travelgenio, he escrito a atención al cliente de travelgenio,  no hay respuesta, los teléfonos no responden,. Salía un letrero que comunicarse con Mytrip envié sinnúmero de correos pero todo ha sido imposible. POR FAVOR NECESITO REPROGRAMAR LOS VUELOS, ya esta próxima la fecha del viaje y TRAVELGENIO NI LATAM RESPONDEN. POR FAVOR RESPONDER Y SOLUCIONAR."
2,1,"Compre unos TKTs a las vegasCompre unos TKTs a las vegas, la aerolinea cambio la fecha y retorno el dinero a la Agencia de Viajes, LLevo muchos correos y nadie contesta. abstenerse de comprar en esta pagina. nadie contesta"
3,1,"Dio quiebraDio quiebra, dejo a todos en la calle..en Uruguay"
4,2,"UrgenteHola.. hice una reserva con ustedes de caracas a Madrid por la aerolínea turkish, la aerolínea cambió la hora de vuelo y necesito que ustedes confirmen porque si no, no podré viajar, no lo puedo hacer yo ni lo puede hacer la aerolínea el cambio lo tiene que hacer ustedes.. agradezco y me respondan por favor 😭"
5,1,"Nunca compren de Oojo travelNunca compren de Oojo travel. Mi nombre es Gustavo Hermosilla id card 1528439 de Paraguay. En fecha 17 de noviembre 2022 compre y Pague un ticket PQ6DG Asunción New York Asuncion. Nunca me enviaron el ticket ni tampoco devolvieron la plata 682,75 $. Cada 3 días me responden que están analizando si.me devuelven según su Departamento de Contabilidad. Ya le denuncie por Fraude en la Embajada estadounidense en mi País"
6,1,SERVICIO TRAVELGENIOLlevo semanas intentando cambiar mi pasaje sin éxito. Es urgente y nadie me contesta!! Cambiaron las horas/fecha de mi vuelo impidiéndome asistir a este con esta modificación.Imposible acceder a Mytrips y nadie me ayuda. NO puedo perder este vuelo ni el dinero.
7,1,"Un desastreUn desastre ! Tenia un vuelo Arequipa Lima en Peru, y con las manifestaciones actuales el aeropuerto estuve cerrado. Imposible cambiar los vuelos o tener ayudo. Durante este tiempo, otras personas han cambiado sus vuelos sin problemas. Las compañías me han dicho de ver con la agencia pero NUNCA CONTESTA ! Estoy esperando … Didier Tolou"
8,1,"cancelación de vueloHace días intentamos contactarnos con uds pero es imposible, y en estos foros responden con un mje automático de que enviemos mail con el num de reserva (cosa que hemos realizado ya varias veces), nos han cancelado un vuelo y si uds no realizan la gestion correspondientes no podemos cambiar la reserva, indiquenme como solucionar, mail ya enviamos y a my trip ya entramos y eso no fue solución, aguardo comentario a la brevedad"
9,5,"Resolución efectiva por Travelgenio, muy felicesHola Travelgenio,Les escribimos nuevamente para destacar la efectiva resolución a nuestro caso, uno que nos tenía muy angustiados. Estamos muy pero muy agradecidos por escucharnos y ayudarnos. Mil y mil gracias a todos! Volveremos a usar sus servicios en efecto.Saludos! 😀"
