,Estrellas,Reseñas
0,4,"La estancia en el hotel fue muy buenaLa estancia en el hotel fue muy buena, es pequeñito pero cómodo….apartado de todo por lo que tienes que alquilarte algo para llegar o moverte por la isla. El personal está por y para los clientes, Constatina, de recepción es maravillosa. La limpieza en general es muy buena. Tendrían que mejorar en el desayuno, es escaso con pocas posibilidades. Te dan en una carta con mas variedad pero la tienes que pagar, esto lo veo fatal dado el precio del hotel. A mejorar tambien el precio de las bebidas, en el propio hotel, es desorbitado ya que una simple cerveza de 33cl vale 10€. Agárrense los cinturones con los precios de todo lo demás ahí y en la isla en general."
1,2,"Todo bien hasta que tienes problemas.Todo bien hasta que tienes problemas.Llevo tiempo usándola, y si todo va bien, genial.He tenido un problema con ryanair, mas de una semana mandando email y llamando y ninguna respuesta de trip.com por lo que hemos perdido el vuelo, ya que ellos nos ponen los apellidos juntos, y al identificarte con ryanair (que cuesta 0,65€ a parte) te dice apellidos no válidos.Desde trip ni contestaron,Ryanair te dice que tienes que ir en el mismo dia pero 4 h antes a facturacion (cosa inviable con el trabajo) solución?? Dinero perdido y tuve que pagar en último momento otro medio de transporte. Pésimo servicio atención al cliente (inexistente) por lo que todo cuando va bien, precios estupendo, pero no compensa perder cientos de euros y no tener ni una explicación por su parte"
2,5,"23462538058 GRAN AYUDA TODO Y SER DOMINGO23462538058 No había recibido notificación para realizar el check-inn, fui atendida por SOFIA. Su trato fue excelente, tiene una gran empatia con el cliente, junto con su gran paciencia y amabilidad. Me ayudo a realizar todos los tramites.Mil gracias!!!!"
3,5,"Menna, agente muy profesionalMenna fue muy rapida y eficiente en resolver mi problema, incluso me llamo para asegurarse de que estaba todo en orden.Excellente profesional."
4,5,Los precios y el servicio está muy bien…Los precios y el servicio está muy bien me encanta la aplicación por que te mantiene informado siempre con los detalles del vuelo
5,5,"Gracias GemaSi bien el problema está aún por resolver, quiero destacar la buena voluntad y amable servicio de Gema, los trabajadores que entienden como interactuar con sus clientes son el mayor activo para sus empresas, Gracias Gema"
6,5,La gemaLa gema : fue lo que me ha resuelto el problema y Estaba  súper amable y muchas gracais por todo gema me esplico todo simple y exacto.
7,1,"Terrible empresa, ojo, estafan!Compré un vuelo con ellos en Noviembre, por 680€. Hace unos días me cambian el vuelo con salida una semana más tarde de la prevista. Les notifico que como faltan meses para utilizarlo me reembolsen el dinero puesto que no es mi culpa el que la compañía haya cancelado un vuelo dos meses antes. Su respuesta: Que acepté un cambio gratuito para la semana siguiente (mentira, lo han aceptado ellos desde Trip), que me ofrecieron el reembolso (mentira otra vez, en ningun momento me informaron de nada más que del cambio del vuelo automático), y lo peor, cuando por fin logro contactar con ellos después de varios días me dicen que he solicitado la cancelación del vuelo (otra mentira, y me he quedado sin vuelo y sin reembolso). Una terrible pesadilla esta operadora que farsa del mejor servicio al cliente.Por favor, no hagáis nada con ellos. Es un infierno y actúan en nombre propio sin consultar nada al cliente. Llevo años viajando y mi primera vez con Trip.com y la última. No entiendo este abuso. Sólo me queda ponerlo en manos de un abogado, ya no por la cantidad del billete que es dinero, sino por su mala fe."
8,5,Todo bienLa manera fácil y clara que funciona Trip.com da mucha seguridad y tranquilidad
9,1,"Es una GRAN ESTAFANos han estafado 837 euros, se ha auto completado los datos con el nombre de la reserva del día anterior con el mismo nombre mismo primer apellido y distinto segundo apellido que es el de mi padre , me marean con mensajes de tipo : envía pasaporte , envía justificante de Air France , Lea he enviado un audio y cuando lo tengo todo vaya por Dios no coincide y no pueden hacer nada , Air France me indica que trip.com no se ha puesto en contacto con ellos , no dejan tramitar el derecho al desistimiento por un error por su página que auto completa el apellido es una vergüenza POR FAVOR NUNCA RESERVÉIS CON ELLOS , es todo un engaño !!!!!! Nos han estafadado y estamos emprendiendo medidas legales contra ellos ; por favor difundir mensaje , es nuestra luna de miel , ayudarnos por favor !!!"
10,1,"ReclamoEstoy tan molestas con esta empresa, compré un pasaje para mi hija y por fuerza mayor tuve que cambiar el día, solo por ese cambio me cobraron extra 120 dolares, más encima al revisar su pasaje en Sky me doy cuenta que ni está con maletas incluidas, es decir tendremos que comprar aparte las maletas y eso es ya es el colmo del abuso.  Demoran en dar solución, me dicen que en 72 horas y mi hija a puertas de viajar.  No recomiendo a esta empresa"
11,5,"Muy muy satisfechoTodo muy bien y al mejor precio que he encontrado, seguiré confiando en la web y buscando en ella, la recomiendo"
12,4,"Me contestaron muy rápidamente y…Me contestaron muy rápidamente y aclararon mis dudas, gracias!!. Sería ideal que la misma explicación que me dieron estuviera también en la página web cuando compras el billete."
13,1,"Me cobraron 104 euros por la noche y el…Me cobraron 104 euros por la noche y el hotel no corresponde a ese precio.Està al nivel de un hostal de segunda, el mantenimiento es escaso y la limpieza muy mal.Carísimo para lo q ofrece."
14,5,"Es de facil usoEs de facil uso, tanto en la web como en la app Android, buenos precios, claridad en las especificaciones"
15,5,Osama fue muy amable y aclare todas mis…Osama fue muy amable y aclare todas mis dudas e inseguridades a cerca de la tarjeta de embarque
16,5,Fue muy amable y resolvió toda mis…Fue muy amable y resolvió toda mis inquietudes es lo que siempre. Quisiera encontrar en una llamada de servicio al cliente excelente  su actitud y ayuda
17,5,Trato excelenteM. Fabiana me ha atendido con gran rapidez a mis correos y empatía con mi problema a la hora de solicitar los trámites que necesitaba.
18,5,Todo fácilTodo fácil. Te informan de cuando hay vuelos económicos.
19,5,Me parece que están muy atentos y buenos preciosPorque  realmente se interesan por el cliente. Y por eso es la cuarta vez que lo gestiono a través de esta empresa y la he recomendado   sencillamente son profesionales
