,Estrellas,Reseñas
0,5,Porque se comportan bien y son amables…Porque se comportan bien y son amables eso si cuando tenga un problemas pues yo le avisaría algo que no me valla ajustar pero asta hora todo esta bien
1,3,"El viaje estuve bienEl viaje estuve bien, muy buen servicio por parte del conductor, sin embargo, el servicio en general de la App, es pésima, me hicieron un cargo extra, aún cuando sólo realicé un viaje, me cobraron doble y, no es la primera vez que me sucede esto."
2,1,"QUE VERGÜENZAPedimos un Uber en el Aeropuerto Adolfo Suarez de Madrid. Nos indico que estaba a 5 minutos, hasta ahi bien. El tiempo pasa, 5 minutos, 10, 20… decidimos llamar al conductor ya que no nos llamaba ni nos escribía. Nadie contesta, asi repetidas veces. En este momento nos indica que esta a 3 minutos, nosotras entendemos que las condiciones de tráfico pueden ser adversas, pero el tiempo sigue pasando hasta que llegamos a los 40 minutos de espera. De repente nos pone que esta llegando y, sorpresa, nos lo CANCELA. Empieza a buscar otro conductor y cada uno que elige cancela el viaje. Acabamos cancelando el viaje y cogiendo un Taxi, lo más cómodo."
3,5,"Vamos UberrrrCuenta con un excelente servicio de autos, gente amable y buenas tarifas. Es una aplicación segura que te cuida tanto al pasajero como al que maneja, ellos pueden decir a dónde ir y nosotros con quién viajar"
4,5,Mi primer viaje con UBER…Mi primer viaje cometi un error en direccion de destino. Al darse cuenta el conductor me explico como agregar un nuevo destino y solucionado sin mucho gasto adicional. Y obtuve un descuento por mi primer viaje.
5,1,"No hay Atención ni ayuda telefónica al usuarioHe reservado un viaje con 4 días de antelación (1a vez que utilizo Uber). Ante una duda, he intentado contactar con Atención al cliente, ayuda al usuario o como se quiera llamar. Solo hay teléfono de ayuda para los conductores. Para los usuarios ni teléfono ni correo electrónico. Así es que he cancelado la reserva y desinstalado la aplicación. ¿Con quién contacto si tengo un problema con el conductor o si el conductor no se presenta? Lo de búscatelavidapuntocom no me gusta nada."
6,5,"Didi es el mejorDestaca porque son muy puntuales y un excelente servicio, muchas gracias por su fina atención, saludos ☺️"
7,4,"El servicio es buenoEl servicio es bueno, pero se debe tener cuidado con los vehiculos, estaba sucio y el conductor vestía de calentadorMe parece que se puede mejorar en esos aspectos importantisimos para un correcto servicio"
8,5,Lo bueno de el personal que trabaja con…Lo bueno de el personal que trabaja con esta aplicación son personas confiables Con estas temperaturas en la ciudad los carros tienen su clima y ase más placentero el viaje a nuestro destino muchas gracias por su atenciónA UBER
9,1,"Son unos ladrones!Son unos ladrones!! Cobran un servicio con un valor dado y luego cobran dinero adicional hasta doble por tarjetas les recomiendo que no registren su tarjeta, adicional a esto cuando cancelan un viaje el dinero no se devuelve de manera rápida si no al mes vuelve a la cuenta. Falta de respeto"
