,Estrellas,Reseñas
0,1,"Un timo en toda regla !!!Un timo en toda regla !!!Un verdadero timo. Y además parece ser legal. Les compré las entradas, error mío de nomirar otra página.Te cobran una barbaridad por algoque tiene un precio fijo y encima note dan ubicación. Evidentemente cuando tellegan las entradas estás sentado en el palode la Bandera!!!"
1,1,el timo viagogoMe siento estafada con todas las letras. Vendimos tres entradas para el concierto de Elton John ( Se ha pospuesto tantas veces que ya no podíamos ir) y nos aseguraron la venta de dos y al día siguiente la de la tercera. Nuestra sorpresa es que nos abonan solo dos y nos quitan 78€ y de la tercera no sabemos nada. He mandado mas de 20 mensajes y me contestan con un mensaje tipo. Siempre el mismo. He llamado por teléfono y el mismo Juan que contesta a los correos me ha dejado colgada según le estaba explicando. ¡¡¡¡qué timo¡¡¡
2,1,Me uno a todas las malas opiniones que…Me uno a todas las malas opiniones que hay. Estafadores. Se dedican a la reventa de entradas. Y es verdad que salen los primeros cuando pones venta de entradas Starlite. Y encima como patrocinados. Deberían de ser auditados y multados.
3,1,"Menudos estafadoresMenudos estafadoresVendo 2 entradas, me dicen q la venta ha sido camcelada después de estar esperando 1 h en Mrw a q me contestaran para decirme la dirección. Del envíoPago el envío, dos dias después me dicen q la venta ha sido camcelada y se quedan con mis entradas Para colmo, me dicen q me van a cobrar a miNo vendáis ni compréis"
4,1,Atención al cliente muy deficitariaAtención al cliente muy deficitaria. Respuesta estándar a cualquier incidencia. Me cargan una entrada coronas checas en vez de en EUR un 52% más cara. Es imposible gestionar una incidencia con la página (desde enero que compré la entrada). Nunca más la utilizo para ningún evento
5,1,"¡¡¡ESTAFADORES!!!¡¡¡ESTAFADORES, SINVERGÜENZAS!!!ES INCREÍBLE QUE CON TODAS LAS DENUNCIAS QUE TIENE VIAGOGO.ES SIGA APARECIENDO ESTÁ PAGINA EN LAS BÚSQUEDAS DE GOOGLE Y EN MUCHAS OCASIONES PATROCINADO Y EN LA PRIMERA POSICIÓN AL BUSCAR ENTRADAS DE ALGÚN EVENTO."
6,1,me han estafado en viagogoVendiendo unas entradas me han estafado diciendo que el comprador no pudo entrar. No os recomiendo viagogo a no ser que queráis ser estafados
7,1,ES UNA VERGUENZA COMPRAS UNAS ENTRADAS…ES UNA VERGUENZA COMPRAS UNAS ENTRADAS POR 128 EUROS Y RESULTA QUE TE CARGAN 200 EUROS SE QUEDAN UN 40% DE CADA ENTRADA ES UNA VERGUENZA
8,1,"Hay gente que se alegra de pagar más de…Hay gente que se alegra de pagar más de el doble para entrar a un concierto. Hay gente que además, recrimina a los que nos sentimos estafados, el hecho de haberles echo pasar malos ratos por nuestras opiniones. Vaya tela!. Se enorgullecen de haber pagado más de el doble por la entrada a un concierto!. Será verdad, o se tratará de opiniones de parte?.El sábado iremos mi mujer y yo al concierto de Alejandro Sanz. A ver si tengo vuestra suerte y puedo entrar sin problemas después de haber pagado 544 euros por dos entradas, haberme entregado las entradas vía correo electrónico 6 meses después de haberlas comprado y poder sentarme en asientos diferentes a los solicitados. A ver, a ver si tengo esa suerte, esa suerte que es la vuestra!"
9,1,"ESTAFADORESMe sumo a lo que comenta la gran mayoría: ESTAFADORES.En España, denuncias a patadas y NO HAN CERRADO ESTA WEB En España, no puedes acceder a webs como Rusia Today pero SI TE PUEDEN ROBAR EN VIAGOGO."
10,1,Ladrones mal parido pura estafa sólo…Ladrones mal parido pura estafa sólo hacen vender la misma entrada a varias personas . En los conciertos de Romeo Santos en Madrid muchas estafa .
11,1,"Son unos completos estafadores,no…Son unos completos estafadores,no fiarse de esta página timan a la persona completamente y sin escrúpulos, ojalá algún día se os caiga el pelo"
12,1,Quiero solicitar un reembolso y…Quiero solicitar un reembolso y cancelación ya que he hecho una compra el 2/07/23 y hoy día 4/07/23 he intentado ponerme en contacto con ellos y no me han atendido ni solucionado nada. Estoy en mi derecho por ley del consumidor poder cancelar y reclamar dentro de los 10-14 días después de que se efectúe la compra.. alguien sabe como puedo contactarme con ellos de alguna otra forma? Lo he hecho por twister/ messenger/ llamada y correo electrónico.
13,1,"Estafadores totalesEstafadores totales, además salen los primeros en Google para que la gente pique, venden la misma entrada varias veces o venden entradas falsas. No entiendo como les dejan seguir estafando."
