,Estrellas,Reseñas
0,4,"Buenas tardesBuenas tardes. Yo soy vendedora y la verdad no me gusta estafar a nadie. Tengo tu 50 opiniones buenas que por algo será. Cuando uno compra tiene que saber a quién compra. Si es verdad que hay muchos timos, pero también hay gente de confianza que vende cosas reales y las envía limpias y planchadas. Yo siempre estoy muy atenta con la persona que compra y digo la verdad. Espero que le haya servido a alguien."
1,5,"Hasta el día de hoy, todo han sido buenas experiencias. Espero continuar así!!!Yo creo que cumplo las reglas de Vinted.. Hasta ahora todo han sido ventas, porque tengo muchas cosas que ya no uso.Lo que si quiero puntualizar es que ya me quitaron 2 productos y no entiendo el porqué. Siempre para subir algo lo busco antes, y veo muchos cosas similares a esas 2 a las que me refiero.Porque otras personas pueden y yo no? 🧙🙋‍♀️Esa es mi inquietud"
2,5,"Por ahora muy buena experienciaPor ahora muy buena experiencia, aunque debo decir, que como vendedor siempre estoy con el miedo del que el comprador/cliente, quiera fingir de haber sido estafado y final mente quedarse con mí producto, además, del dinero.Por lo tanto, en mi opinión, es necesario revisar, para reforzar la garantía/seguridad de ambos, tanto comprador, como vendedor.Gracias."
3,5,Que es una aplicación fiable 100 x100Mandar ropa en buenas condiciones y buenas fotos para que se vea bien la calidad de las prendas ..responder y enviar con rapidez el producto...estoy encantada con vinted..se recicla muchísima ropa y objetos que ya no nos sirven puedan usarlos otras personas y más económico para personas que no puedan comprar qqq cantidad de dinero
4,5,"Lo que me gusta de Vinted: Da confianzaLo que me gusta de Vinted:-Como esta diseñado la plataforma a la hora de subir prendas para vender, es muy sencillo e intuitivo.-Tiene muchos puntos de entrega y recogida.-Cuando vendes algo en todo momento sabes donde esta, si esta recogido, etc.-Da seguridad a la hora de vender el hecho de que hasta que el comprador no ha pagado no se active el mecanismo de la etiqueta. Cumplen con los plazos para ingresar el dinero de la venta.Hasta el momento toda mi experiencia con Vinted ha sido positiva."
5,5,VINTEDVinted es una página donde la compraventa es sencilla por muchos motivos:- Amplia variedad de prendas- Filtros de búsqueda eficientes- Sencilla comunicación entre el vendedor y comprador- Pago y producción de etiquetas de envío ágiles- Seguimientos de envío accesibles- Precios económicosPor último pero no menos importante la labor medioambiental que realiza por crear un espacio donde dar una segunda vida a tus prendas. Al principio crees que es una app difícil de manejar pero es superintuitiva para todo tipo de públicos. La recomendaría sin dudarlo.
6,4,"Había pagado para publicar un artículo…Había pagado para publicar un artículo y dar exposición, pero fue fatal por un fallo de su sistema, así que no tuvo la visibilidad que era, tampoco tuvo las estadísticas que eran...eso es lamentable, porque para eso pagamos, no ofrecieron nada a cambio y está mal, debieron darme una publicación real"
7,5,"Si.. y no..Me parece una muy buena app para vender y comprar artículos, el fallo es que no me fío de vender a todos los perfiles pues la protección al comprador da la opción de que nos estafen como les a pasado a muc@s vendedor@s. Y creo que eso debería cambiar."
8,4,"Los artículos  similares a lo que subes los buscas para comprarlos y no estánTodo es positivo y me encanta vinted  excepto cuando subo una prenda al poner el precio me pone artículos similares e iguales a precios muy económicos para orientarme sobre el precio que  luego busco para comprar y no están . Por ejemplo un polo de Ralph Lauren como el que acabo de vender me sale al subirlo uno igual y varios al mismo precio que luego busco y no están,  hay otros mucho más caros . No sé si me explico .Me gustaría que me dieran una respuesta."
9,5,"Sin duda alguna es una Vinted es excelentePues en realidad cuando empecé pensé q sería algo complicado para mí este mundillo d la compraventa,pero la verdad es q la página explica muy bien como hacerlo y m a ayudado en ocasiones q tenía dudas,es para mí excelente m encanta Vinted"
10,3,"No me gusta que sin verificar las…No me gusta que sin verificar las cosas, descatalogais prendas, incluso habéis cerrado la cuenta a una persona que conozco pq decís que es una tienda y no es así. Antes de hacer las cosas hay que comprobarlas, porque por podéis equivocar y encima no hay a quien dirigirse para hablar. Es una máquina y no me gusta. De hecho si lo pudiera vender de otra forma lo haría"
11,5,"Excelente aplicaciónExcelente aplicación, gran funcionalidad, seguridad e información tanto de su utilización como de las transacciones. Nunca había probado ninguna App de este estilo y estoy gratamente sorprendida. Totalmente recomendable"
12,5,"Desde que descubrí vintedDesde que descubrí vinted, estoy encantada, sobre todo porque en todo momento vinted te avisa cuando alguien le da un corazón a algo que tengas puesto a la venta, así te facilita que puedas vender o comprar más rápido"
13,5,"Fácil de usar y muy eficaz para venderCreí que costaría más vender los artículos, pero hay mucho movimiento. Ya he vendido varios.La plataforma es muy intuitiva y fácil de usar. Es genial poder darle nueva vida a la ropa y hacer pequeños donativos a la vez."
14,4,"Precio de mensajeríaMuy bien ,almoricipuones un poco difícil el tener que responder a ofertas y tal pero poco a poco de va entendiendo,el precio de mensajería muy bueno comparado con otras empresas,eso hace que se venda bien.Gracias"
15,5,"Me encanta vintedMe encanta vinted por lo fácil que es de encontrar lo que te hace falta,mi última compra fueron unas sandalias y muy buen contacto con el comprador y con el aquipo de vinted para las dudas, genial."
16,5,"A veces tardas tiempo en vender algoA veces tardas tiempo en vender algo, pero si al final vas a tenerlo guardado en un cajón, simplemente tienes que poner el producto en el perfil y si lo vendes bien y si no también 😂"
17,3,Buena aplicación pero como ya he dicho…Buena aplicación pero como ya he dicho en otros lugares donde se dejan remesas en esta aplicación se hace complicado a veces encontrar qué tipo de categoría correcta para el artículo que estás intentando subir a la venta. Además de eso te eliminan anuncios de artículos solo por incluir palabras como regalo y se nota que eso lo hace un robot automático porque si fuera una persona entendería el contexto de lo que estás poniendo en el anuncio y que no se trata evidentemente de ningún regalo. Tienes que tener cuidado con las palabras que eliges porque no sé cuántos artículos me eliminarán y me podrían bloquear la cuenta
18,5,"Esta muy bien organizadoEsta muy bien organizado. Nos da seguridad y comodidad. Aún soy nueva aquí y cometo errores porque no lo entiendo bien del todo, pero sé que en poco tiempo me adaptaré. Gracias"
19,3,Desvalorízan las prendasCreo que laAplicación  es buena pero al subir una prenda te pone de ejemplo el valor que puedes poner ya que hay algunas similares a la que estás subiendo. Lo cual no me parece Porq desvaloriza tu prenda. Y al buscar las publicaciones muchas no las he encontrado. No sé con qué fin hacen eso. Creo q algunas cosas que son muy buenas tipo ropa de bebé casi casi se regalan. Cuesta más imprimir el recibo empacar y enviar q Porq lo que estás vendiendo. Un paquete de 5 bodies bebé por 1€ eso es regale tu tiempo y tus prendas.
20,3,"El mejor negocio del mundoEl mejor negocio del mundo. Regalas tu ropa de segunda mano y la plataforma se lleva el 5% por nada, luego súmale los portes y aquello que tiene un precio interesante se convierte en un alto precio para un artículo usado."
