,Estrellas,Reseñas
0,1,"EstafaAyer, creo que me han estafado. Puse unos artículos a la venta con envios y uno se vendió ( se supone que iba a Bilbao), me mandan un sms pidiendo teléfono y tarjeta bancaria ( salía que estaba pagado). Para poder verificar que no era falsa, me piden que hay que tener más de 300€, al tener menos de esa cantidad, me dicen que me van hacer una transacción y que la verifique. Hago todo como me dicen y me descuentan una cantidad bastante alta, les digo que me lo han descontado y tratan de solucionarlo haciendo transacciones que no me llegan. Ayer no cerré la pág y hoy por la mañana, reclamé otra vez mi dinero sin obtener respuesta. Y no encuentro un contacto para reclamar."
1,1,"EstafaEstafa. No hay otra manera de llamarlo. Recibes un producto defectuoso y en las condiciones de la app te dicen que tú dinero está protegido pero es mentira. Abrí la incidencia en cuanto la tablet llegó, contacte con el vendedor y me han robado 52€."
2,1,"Cuenta anulada sin motivoTengo un I phone 6 y me dicen que ya no puedo usar a la aplicacion por que no se puede actualizar con la nueva versión. Intento entrar en mi cuenta por el ordenador, pido la contaseña y no la recibo, lo reclamo a atención al cliente y me dicen que me han anulado la cuenta por que han detectado que quiero hacer una cuenta para hacer  y recibir envios. Les explico el problema que he tenido y me dicen que la cuenta ya esta anulada. No entiendo nada, y la cuenta con 30 productos subidos a tomar por el saco. Atencion al cliente nefasta."
3,1,"Ordene una iPhone 11 256 GB con…Ordene una iPhone 11 256 GB con pantalla rota para arreglar, me llegó una caja con piedras, tierra, pañuelos sucios y una pantalla con agujeros/sin Flex de algún chino o teléfono Huawei. El vendedor ante el chat afirmó que es lo que yo ordene y que valía 200 euros esa pantalla original. Wallapop le dió la razón en la disputa porque estaba en subcategoría ""piezas"" y que si recibí lo que ofreció a pesar que en el chat claramente pregunté cosas de móvil como face ID, cámaras , carga inalámbrica, etc. El estafador se rió de mi colocando una reseña que reparo móviles con cosas de Aliexpress, se llevó su dinero y borro la cuenta. Luego me doy con la sorpresa que tenía otra cuenta con la que se da 5 estrellas y se creo otra con LA MISMA ESTAFA, ahí wallapop si admitio que es estafa y se la borro pero en mi caso que recibí lo que pedí ."
4,1,"Devolví un bajo eléctrico y el 16 de…Devolví un bajo eléctrico y el 16 de mayo le llegó al domicilio del vendedor, wallapop me manda el mensaje de que el artículo llegó al vendedor y que en un plazo de 2 a 3 días y hasta hoy.Devolución realizadaHa finalizado el proceso de devolución. El producto ha sido devuelto a su vendedor.iconRecibirás el dinero en tu cuenta en un plazo de 2 a 5 días hábiles.¿Dudas sobre el reembolso?iconProducto:Fender Precision mex mejoradoiconTotal:586.49€iconVendido por:Miguel d.ic"
5,1,"Simplemente lamentableSimplemente lamentable, me vendieron un ordenador indicando que venía sin ram y sin disco duro, pero no decía que tampoco venía sin cargador. Abrí una disputa, creyendo que me darían la razón claramente. Pues sin explicaciones de ningún tipo ni derecho a replica cerraron el caso. No tienes ningún tipo de protección. Si te llega el paquete se acabó. Ni siquiera tienes derecho a devolver el paquete aunque tenga que pagar yo los gastos de la devolución."
6,1,"Penoso…Que pasa ahora que solo me da la opción de enviar con GLS que me aparece el punto más cercano a 35 kms de mi casa? Que horror, he tenido que cancelar una venta 3 veces, me parece vergonzoso que no tengan ni siquiera un sitio para contactar aunque sea por un chat, tengo que perder la venta porque no me deja optar a otras formas de envío. Les doy un cero y me quito la aplicación."
7,1,"INDEFENSIÓN A LOS VENDEDORES QUE ENVIAMOSOjo con los envíos, con un historial de 5 estrellas desde 2018 un comprador me llama mentiroso porque dice que el producto se lo he enviado roto, hay que ser tonto para hacer eso teniendo en cuenta las garantías que hay para devolver, nunca he mentido ni lo haré,  no me permiten defenderme, me devuelven el pedido y sin poder comprobar si me devuelven todo y en qué condiciones (en teoría tengo 48 horas) ya le han devuelto el dinero al vendedor. Mucho cuidado con enviar nada."
8,1,"Atención al cliente inexistenteAtención al cliente inexistente. He probado por diferentes medios pero solo recibo una respuesta automática. Chat, mediante reclamación en OCU, correos....El viernes 23 junio realicé una compra. Hemos hablado con la agencia GLS el vendedor y yo. El vendedor realizó el envío correctamente pero Parcel Shop de GLS puso una etiqueta equivocada al paquete que envió el vendedor. El paquete sigue en Alicante en el Parcel Shop pero dicen que hasta que no tengan una etiqueta nueva, ya que cancelaron el envío, no pueden enviar el pedido que yo compré.El seguimiento que facilitaron en la compra dice cancelado.El problema es que han pasado días y el vendedor y yo el comprador, no recibimos respuestas de wallapop y yo como comprador no puedo abrir una disputa, para recibir el dinero de la compra y el recibir de nuevo su producto.No es problema ni mío, ni del comprador ya que es la agencia la que ha cometido el error, y el paquete de mi compra está retenido en el Parcel Shop de Alicante. Y la agencia GLS Alicante, tampoco soluciona nada, ya que dicen que hasta que reciban la nueva etiqueta no envían nada.Hemos intentado por diferentes métodos, ponernos en contacto con atención al cliente de Wallapop y no hemos obtenido respuesta"
9,1,"Compré una lavadora hace 3 días con…Compré una lavadora hace 3 días con envío y ni siquiera se han puesto en contacto con el vendedor para recogerla, y no hay ningún mail o teléfono de atención al cliente donde yo pueda preguntar.Envío carísimo:  35 que pago yo + 20 que paga el vendedor: 55€ + 12 de seguro, y no tenemos noticia .Actualización: la compré el lunes a las 8 de la mañana, el miércoles se pusieron en contacto con el vendedor, el viernes van a recogerla, aún no sé cuando la traen. Muy rápidos no son."
