iter	Logloss
0	0.6348031021
1	0.5908852386
2	0.5541850887
3	0.5188978905
4	0.4930568182
5	0.4708320301
6	0.4539957725
7	0.4401386574
8	0.4233016486
9	0.4114266967
10	0.3991207978
11	0.3911418681
12	0.3828118533
13	0.3725481076
14	0.3655295128
15	0.3582047759
16	0.3525616907
17	0.3464182735
18	0.3403358322
19	0.3342906237
20	0.3295102229
21	0.3247111517
22	0.3205256199
23	0.3160294147
24	0.3126374854
25	0.3090705278
26	0.3053774806
27	0.3014714091
28	0.2986781989
29	0.2957831861
30	0.29243921
31	0.289812057
32	0.2871287111
33	0.2849875862
34	0.2822534946
35	0.2800336435
36	0.277821556
37	0.2759505492
38	0.2736238662
39	0.2713311917
40	0.269598923
41	0.2678854637
42	0.2658123062
43	0.2642237121
44	0.2624399896
45	0.2610016128
46	0.2597238133
47	0.2578295983
48	0.2562467718
49	0.2549171761
50	0.2536436945
51	0.2524919851
52	0.2514484413
53	0.2501107036
54	0.2484129718
55	0.247332473
56	0.2462508095
57	0.244957483
58	0.2438708611
59	0.2427306552
60	0.2415368909
61	0.2408114008
62	0.2399445299
63	0.2390929754
64	0.238045253
65	0.2371289652
66	0.2362013083
67	0.2352529652
68	0.2341216552
69	0.2332489036
70	0.2324928895
71	0.2317647059
72	0.2311136257
73	0.2301839593
74	0.2295023406
75	0.2286800196
76	0.2281243328
77	0.2273072354
78	0.2263487923
79	0.2258069917
80	0.224926945
81	0.2242006481
82	0.2235514449
83	0.2229422801
84	0.2222528296
85	0.221712817
86	0.2208345552
87	0.220261228
88	0.2196177623
89	0.2191167677
90	0.2182856265
91	0.2177295522
92	0.2171811429
93	0.2164568779
94	0.2159714177
95	0.2152828802
96	0.2147933543
97	0.2142494162
98	0.2136851048
99	0.213165124
