iter	Passed	Remaining
0	15061	1491049
1	27699	1357268
2	38098	1231857
3	48174	1156188
4	58946	1119988
5	69524	1089223
6	79728	1059251
7	89548	1029805
8	99363	1004678
9	110410	993692
10	120917	978334
11	130305	955570
12	139614	934341
13	148932	914868
14	158345	897290
15	167756	880720
16	177261	865452
17	187671	854949
18	198417	845883
19	211363	845454
20	222651	837593
21	232786	825335
22	243256	814380
23	254480	805856
24	264783	794350
25	276131	785912
26	286379	774285
27	296741	763049
28	307188	752082
29	316894	739420
30	327822	729669
31	338843	720041
32	349738	710074
33	359609	698065
34	370640	688333
35	381537	678288
36	392169	667748
37	403181	657823
38	414120	647726
39	425151	637727
40	435815	627149
41	445957	615846
42	456843	605582
43	467329	594783
44	477846	584034
45	488727	573723
46	499317	563060
47	508856	551261
48	519285	540480
49	529722	529722
50	539932	518758
51	550392	508054
52	560320	496888
53	570809	486244
54	580409	474880
55	589957	463538
56	599759	452450
57	609608	441440
58	620508	431200
59	632827	421884
60	643720	411558
61	655139	401537
62	666337	391341
63	677308	380985
64	688578	370773
65	700075	360644
66	711763	350569
67	722041	339784
68	731134	328480
69	740253	317251
70	749343	306069
71	758695	295048
72	767844	283997
73	777289	273101
74	786533	262177
75	795584	251237
76	804342	240258
77	813106	229337
78	821803	218454
79	830563	207640
80	839328	196879
81	848018	186150
82	856877	175504
83	865592	164874
84	874287	154286
85	883001	143744
86	891691	133241
87	900398	122781
88	909139	112365
89	918009	102001
90	926691	91650
91	935408	81339
92	944158	71065
93	952917	60824
94	961708	50616
95	970302	40429
96	978900	30275
97	987537	20153
98	996138	10062
99	1004894	0
